מספר מסלול,שם קובץ,סוג נקודה,קואורדינטות,lat,lon
136,2021-12-16_נווה זוהר.gpx,התחלה,"(31.196962, 35.361251)",31.1969618,35.3612513
136,2021-12-16_נווה זוהר.gpx,סיום,"(31.196994, 35.361456)",31.1969942,35.3614558
137,2021-12-21_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005112, 35.215417)",33.0051118,35.2154173
137,2021-12-21_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005015, 35.215505)",33.0050148,35.2155055
139,2021-12-29_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005060, 35.215475)",33.0050604,35.2154752
139,2021-12-29_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005027, 35.215511)",33.0050271,35.2155111
141,2022-01-02_יחיעם_געתון.gpx,התחלה,"(33.005074, 35.215476)",33.0050736,35.2154764
141,2022-01-02_יחיעם_געתון.gpx,סיום,"(33.005054, 35.215519)",33.0050535,35.2155188
142,2022-01-04_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005066, 35.215471)",33.0050662,35.2154711
142,2022-01-04_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005163, 35.215571)",33.0051628,35.2155714
145,2022-01-14_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005041, 35.215505)",33.005041,35.2155046
145,2022-01-14_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005055, 35.215505)",33.0050551,35.2155049
146,2022-01-15_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005039, 35.215547)",33.0050387,35.215547
146,2022-01-15_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005055, 35.215488)",33.0050549,35.2154881
147,2022-01-17_נווה זוהר.gpx,התחלה,"(31.196952, 35.361281)",31.1969522,35.3612813
147,2022-01-17_נווה זוהר.gpx,סיום,"(31.197081, 35.361252)",31.1970809,35.3612519
148,2022-01-18_נווה זוהר.gpx,התחלה,"(31.197076, 35.361256)",31.1970756,35.3612556
148,2022-01-18_נווה זוהר.gpx,סיום,"(31.196984, 35.361215)",31.196984,35.3612152
149,2022-01-19_נווה זוהר.gpx,התחלה,"(31.197060, 35.361260)",31.19706,35.36126
149,2022-01-19_נווה זוהר.gpx,סיום,"(31.196940, 35.361460)",31.19694,35.36146
150,2022-01-21_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005040, 35.215500)",33.00504,35.2155
150,2022-01-21_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005010, 35.215560)",33.00501,35.21556
151,2022-01-29_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005080, 35.215500)",33.00508,35.2155
151,2022-01-29_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005060, 35.215490)",33.00506,35.21549
152,2022-01-30_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005050, 35.215500)",33.00505,35.2155
152,2022-01-30_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005030, 35.215480)",33.00503,35.21548
153,2022-02-01_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005040, 35.215480)",33.00504,35.21548
153,2022-02-01_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005030, 35.215460)",33.00503,35.21546
154,2022-02-02_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005070, 35.215480)",33.00507,35.21548
154,2022-02-02_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005100, 35.215510)",33.0051,35.21551
156,2022-02-11_געתון_נהרייה_כפר ראש הנקרה_כברי_יחיעם.gpx,התחלה,"(33.006580, 35.209310)",33.00658,35.20931
156,2022-02-11_געתון_נהרייה_כפר ראש הנקרה_כברי_יחיעם.gpx,סיום,"(33.005080, 35.215460)",33.00508,35.21546
157,2022-02-16_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005060, 35.215530)",33.00506,35.21553
157,2022-02-16_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005030, 35.215500)",33.00503,35.2155
158,2022-02-17_כפר מסריק_עין המפרץ.gpx,התחלה,"(32.895660, 35.096050)",32.89566,35.09605
158,2022-02-17_כפר מסריק_עין המפרץ.gpx,סיום,"(32.895610, 35.096090)",32.89561,35.09609
159,2022-02-18_יחיעם_גשר הזיו_געתון.gpx,התחלה,"(33.005030, 35.215490)",33.00503,35.21549
159,2022-02-18_יחיעם_גשר הזיו_געתון.gpx,סיום,"(33.005060, 35.215510)",33.00506,35.21551
160,2022-02-19_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005007, 35.215539)",33.005007,35.2155389
160,2022-02-19_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005049, 35.215502)",33.0050487,35.215502
161,2022-02-22_יחיעם_כברי_געתון.gpx,התחלה,"(33.005040, 35.215490)",33.00504,35.21549
161,2022-02-22_יחיעם_כברי_געתון.gpx,סיום,"(33.005050, 35.215520)",33.00505,35.21552
162,2022-02-23_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005080, 35.215490)",33.00508,35.21549
162,2022-02-23_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005110, 35.215530)",33.00511,35.21553
163,2022-02-24_כפר מסריק_עין המפרץ.gpx,התחלה,"(32.895690, 35.096000)",32.89569,35.096
163,2022-02-24_כפר מסריק_עין המפרץ.gpx,סיום,"(32.895730, 35.095890)",32.89573,35.09589
164,2022-02-27_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005070, 35.215520)",33.00507,35.21552
164,2022-02-27_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005080, 35.215480)",33.00508,35.21548
165,2022-02-28_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,התחלה,"(33.005070, 35.215520)",33.00507,35.21552
165,2022-02-28_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,סיום,"(33.005060, 35.215500)",33.00506,35.2155
166,2022-03-01_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005070, 35.215460)",33.00507,35.21546
166,2022-03-01_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005050, 35.215520)",33.00505,35.21552
167,2022-03-04_יחיעם_גשר הזיו_געתון.gpx,התחלה,"(33.005020, 35.215490)",33.00502,35.21549
167,2022-03-04_יחיעם_גשר הזיו_געתון.gpx,סיום,"(33.005070, 35.215480)",33.00507,35.21548
168,2022-03-05_מעונה_אבירים_מעיליא.gpx,התחלה,"(33.022230, 35.269830)",33.02223,35.26983
168,2022-03-05_מעונה_אבירים_מעיליא.gpx,סיום,"(33.022230, 35.269900)",33.02223,35.2699
169,2022-03-07_נווה זוהר.gpx,התחלה,"(31.199600, 35.364530)",31.1996,35.36453
169,2022-03-07_נווה זוהר.gpx,סיום,"(31.199610, 35.364530)",31.19961,35.36453
170,2022-03-08_נווה זוהר.gpx,התחלה,"(31.199510, 35.364370)",31.19951,35.36437
170,2022-03-08_נווה זוהר.gpx,סיום,"(31.199590, 35.364860)",31.19959,35.36486
171,2022-03-10_נווה זוהר.gpx,התחלה,"(31.199900, 35.364670)",31.1999,35.36467
171,2022-03-10_נווה זוהר.gpx,סיום,"(31.199880, 35.364730)",31.19988,35.36473
172,2022-03-25_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005120, 35.215540)",33.00512,35.21554
172,2022-03-25_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005070, 35.215520)",33.00507,35.21552
173,2022-04-01_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005080, 35.215470)",33.00508,35.21547
173,2022-04-01_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005070, 35.215490)",33.00507,35.21549
174,2022-04-02_יחיעם_מעונה.gpx,התחלה,"(33.005070, 35.215460)",33.00507,35.21546
174,2022-04-02_יחיעם_מעונה.gpx,סיום,"(33.021670, 35.261910)",33.02167,35.26191
175,2022-04-03_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005060, 35.215510)",33.00506,35.21551
175,2022-04-03_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005100, 35.215500)",33.0051,35.2155
176,2022-04-06_תל אביב -יפו_בני ברק.gpx,התחלה,"(32.102690, 34.781320)",32.10269,34.78132
176,2022-04-06_תל אביב -יפו_בני ברק.gpx,סיום,"(32.102620, 34.781360)",32.10262,34.78136
177,2022-04-07_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.004950, 35.215290)",33.00495,35.21529
177,2022-04-07_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005070, 35.215510)",33.00507,35.21551
179,2022-04-12_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005080, 35.215470)",33.00508,35.21547
179,2022-04-12_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005060, 35.215560)",33.00506,35.21556
180,2022-04-13_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005640, 35.215320)",33.00564,35.21532
180,2022-04-13_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005090, 35.215500)",33.00509,35.2155
181,2022-04-14_שלומי_חניתה.gpx,התחלה,"(33.073610, 35.151970)",33.07361,35.15197
181,2022-04-14_שלומי_חניתה.gpx,סיום,"(33.073600, 35.151880)",33.0736,35.15188
182,2022-04-15_שלומי_חניתה.gpx,התחלה,"(33.073710, 35.151840)",33.07371,35.15184
182,2022-04-15_שלומי_חניתה.gpx,סיום,"(33.073490, 35.151750)",33.07349,35.15175
184,2022-04-19_כברי_יחיעם.gpx,התחלה,"(33.010910, 35.154130)",33.01091,35.15413
184,2022-04-19_כברי_יחיעם.gpx,סיום,"(33.005040, 35.215510)",33.00504,35.21551
185,2022-04-21_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005110, 35.215590)",33.00511,35.21559
185,2022-04-21_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005020, 35.215550)",33.00502,35.21555
186,2022-04-22_יחיעם_כברי_געתון.gpx,התחלה,"(33.005060, 35.215440)",33.00506,35.21544
186,2022-04-22_יחיעם_כברי_געתון.gpx,סיום,"(33.005210, 35.215540)",33.00521,35.21554
187,2022-04-24_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005020, 35.215500)",33.00502,35.2155
187,2022-04-24_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005090, 35.215490)",33.00509,35.21549
188,2022-05-04_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005080, 35.215480)",33.00508,35.21548
188,2022-05-04_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005090, 35.215480)",33.00509,35.21548
189,2022-05-06_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005050, 35.215540)",33.00505,35.21554
189,2022-05-06_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005050, 35.215480)",33.00505,35.21548
191,2022-05-11_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005100, 35.215490)",33.0051,35.21549
191,2022-05-11_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005060, 35.215490)",33.00506,35.21549
192,2022-05-12_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005010, 35.215520)",33.00501,35.21552
192,2022-05-12_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005010, 35.215490)",33.00501,35.21549
194,2022-05-15_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005030, 35.215420)",33.00503,35.21542
194,2022-05-15_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005020, 35.215520)",33.00502,35.21552
195,2022-05-18_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005020, 35.215470)",33.00502,35.21547
195,2022-05-18_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005050, 35.215500)",33.00505,35.2155
196,2022-05-19_יחיעם_כברי_געתון.gpx,התחלה,"(33.005030, 35.215490)",33.00503,35.21549
196,2022-05-19_יחיעם_כברי_געתון.gpx,סיום,"(33.005040, 35.215480)",33.00504,35.21548
198,2022-05-25_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005120, 35.215470)",33.00512,35.21547
198,2022-05-25_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005070, 35.215470)",33.00507,35.21547
199,2022-05-26_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005030, 35.215410)",33.00503,35.21541
199,2022-05-26_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005030, 35.215480)",33.00503,35.21548
202,2022-05-31_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005090, 35.215450)",33.00509,35.21545
202,2022-05-31_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005050, 35.215540)",33.00505,35.21554
203,2022-06-01_לוטן_גרופית_קטורה.gpx,התחלה,"(29.988210, 35.086780)",29.98821,35.08678
203,2022-06-01_לוטן_גרופית_קטורה.gpx,סיום,"(29.988180, 35.086820)",29.98818,35.08682
204,2022-06-02_לוטן_יטבתה_אליפז_יטבתה_קטורה.gpx,התחלה,"(29.988280, 35.086800)",29.98828,35.0868
204,2022-06-02_לוטן_יטבתה_אליפז_יטבתה_קטורה.gpx,סיום,"(29.988240, 35.086830)",29.98824,35.08683
205,2022-06-03_אליפז.gpx,התחלה,"(29.795300, 35.014060)",29.7953,35.01406
205,2022-06-03_אליפז.gpx,סיום,"(29.795320, 35.014060)",29.79532,35.01406
206,2022-06-04_יחיעם_נהרייה_כפר ראש הנקרה_כברי_געתון.gpx,התחלה,"(33.005040, 35.215470)",33.00504,35.21547
206,2022-06-04_יחיעם_נהרייה_כפר ראש הנקרה_כברי_געתון.gpx,סיום,"(33.005030, 35.215470)",33.00503,35.21547
207,2022-06-06_קשת_אלוני הבשן.gpx,התחלה,"(32.976880, 35.807170)",32.97688,35.80717
207,2022-06-06_קשת_אלוני הבשן.gpx,סיום,"(32.976890, 35.807130)",32.97689,35.80713
209,2022-06-11_יחיעם_כברי_כפר ראש הנקרה_עבדון_מעונה.gpx,התחלה,"(33.005050, 35.215450)",33.00505,35.21545
209,2022-06-11_יחיעם_כברי_כפר ראש הנקרה_עבדון_מעונה.gpx,סיום,"(33.021680, 35.261970)",33.02168,35.26197
210,2022-06-12_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005100, 35.215470)",33.0051,35.21547
210,2022-06-12_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005070, 35.215490)",33.00507,35.21549
211,2022-06-15_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,התחלה,"(33.005040, 35.215450)",33.00504,35.21545
211,2022-06-15_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,סיום,"(33.005050, 35.215480)",33.00505,35.21548
213,2022-06-18_געתון.gpx,התחלה,"(33.006600, 35.210390)",33.0066,35.21039
213,2022-06-18_געתון.gpx,סיום,"(33.015530, 35.203380)",33.01553,35.20338
214,2022-06-19_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,התחלה,"(33.005050, 35.215550)",33.00505,35.21555
214,2022-06-19_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,סיום,"(33.005030, 35.215510)",33.00503,35.21551
216,2022-06-24_יחיעם_כברי_כפר ראש הנקרה_עבדון_מעונה.gpx,התחלה,"(33.005110, 35.215480)",33.00511,35.21548
216,2022-06-24_יחיעם_כברי_כפר ראש הנקרה_עבדון_מעונה.gpx,סיום,"(33.022020, 35.261130)",33.02202,35.26113
217,2022-06-27_נווה זוהר.gpx,התחלה,"(31.199820, 35.364960)",31.19982,35.36496
217,2022-06-27_נווה זוהר.gpx,סיום,"(31.199830, 35.364940)",31.19983,35.36494
218,2022-06-28_נווה זוהר.gpx,התחלה,"(31.199760, 35.364890)",31.19976,35.36489
218,2022-06-28_נווה זוהר.gpx,סיום,"(31.199850, 35.364950)",31.19985,35.36495
219,2022-06-29_נווה זוהר.gpx,התחלה,"(31.199850, 35.364940)",31.19985,35.36494
219,2022-06-29_נווה זוהר.gpx,סיום,"(31.199900, 35.365010)",31.1999,35.36501
220,2022-06-30_ערד.gpx,התחלה,"(31.266970, 35.210920)",31.26697,35.21092
220,2022-06-30_ערד.gpx,סיום,"(31.306520, 35.269280)",31.30652,35.26928
221,2022-07-02_יחיעם_שייח' דנון_געתון.gpx,התחלה,"(33.005030, 35.215530)",33.00503,35.21553
221,2022-07-02_יחיעם_שייח' דנון_געתון.gpx,סיום,"(33.005030, 35.215470)",33.00503,35.21547
222,2022-07-03_כפר מסריק_עין המפרץ.gpx,התחלה,"(32.895680, 35.095940)",32.89568,35.09594
222,2022-07-03_כפר מסריק_עין המפרץ.gpx,סיום,"(32.895710, 35.095980)",32.89571,35.09598
223,2022-07-07_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005130, 35.215510)",33.00513,35.21551
223,2022-07-07_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.004990, 35.215550)",33.00499,35.21555
224,2022-07-08_יחיעם_גשר הזיו_מעונה.gpx,התחלה,"(33.005060, 35.215500)",33.00506,35.2155
224,2022-07-08_יחיעם_גשר הזיו_מעונה.gpx,סיום,"(33.021620, 35.261970)",33.02162,35.26197
226,2022-07-11_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,התחלה,"(33.005045, 35.215470)",33.0050447,35.2154697
226,2022-07-11_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,סיום,"(33.005048, 35.215504)",33.0050479,35.2155039
227,2022-07-15_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,התחלה,"(33.005050, 35.215541)",33.0050503,35.2155413
227,2022-07-15_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,סיום,"(33.005057, 35.215470)",33.0050572,35.2154703
229,2022-07-18_כברי_כפר ראש הנקרה_בן עמי.gpx,התחלה,"(33.018398, 35.142697)",33.0183983,35.1426972
229,2022-07-18_כברי_כפר ראש הנקרה_בן עמי.gpx,סיום,"(33.018371, 35.142677)",33.0183709,35.1426774
230,2022-07-19_יחיעם_כפר ראש הנקרה_נווה זיו.gpx,התחלה,"(33.005006, 35.215608)",33.0050059,35.2156083
230,2022-07-19_יחיעם_כפר ראש הנקרה_נווה זיו.gpx,סיום,"(33.012595, 35.183968)",33.0125948,35.1839681
231,2022-07-22_גורנות הגליל_אדמית_אילון.gpx,התחלה,"(33.066925, 35.244302)",33.0669247,35.2443016
231,2022-07-22_גורנות הגליל_אדמית_אילון.gpx,סיום,"(33.067185, 35.221053)",33.0671848,35.2210534
232,2022-07-23_יחיעם_כברי_געתון.gpx,התחלה,"(33.005077, 35.215449)",33.0050768,35.2154491
232,2022-07-23_יחיעם_כברי_געתון.gpx,סיום,"(33.004998, 35.215545)",33.0049979,35.2155446
233,2022-07-31_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005091, 35.215515)",33.0050905,35.2155152
233,2022-07-31_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005062, 35.215463)",33.0050619,35.2154625
234,2022-08-02_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005116, 35.215452)",33.005116,35.215452
234,2022-08-02_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005041, 35.215496)",33.0050414,35.2154959
236,2022-08-09_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005037, 35.215497)",33.0050369,35.2154965
236,2022-08-09_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005058, 35.215497)",33.0050584,35.2154965
241,2022-08-19_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,התחלה,"(33.005045, 35.215436)",33.005045,35.215436
241,2022-08-19_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,סיום,"(33.005034, 35.215488)",33.005034,35.2154876
243,2022-08-21_יחיעם_נווה זיו_כליל.gpx,התחלה,"(33.005047, 35.215436)",33.0050474,35.2154363
243,2022-08-21_יחיעם_נווה זיו_כליל.gpx,סיום,"(32.997775, 35.215272)",32.997775,35.2152724
244,2022-10-03_יחיעם_עין יעקב_געתון.gpx,התחלה,"(33.005001, 35.215488)",33.005001,35.2154884
244,2022-10-03_יחיעם_עין יעקב_געתון.gpx,סיום,"(33.005016, 35.215454)",33.0050163,35.2154538
252,2022-10-15_יחיעם_עין יעקב_געתון.gpx,התחלה,"(33.005042, 35.215485)",33.0050422,35.2154852
252,2022-10-15_יחיעם_עין יעקב_געתון.gpx,סיום,"(33.005024, 35.215511)",33.0050244,35.2155113
254,2022-10-21_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005051, 35.215445)",33.0050509,35.2154451
254,2022-10-21_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005065, 35.215513)",33.0050651,35.2155127
255,2022-10-23_יחיעם_כברי_געתון.gpx,התחלה,"(33.005048, 35.215491)",33.0050479,35.2154905
255,2022-10-23_יחיעם_כברי_געתון.gpx,סיום,"(33.005052, 35.215492)",33.0050517,35.2154917
256,2022-10-24_יחיעם_כברי_געתון.gpx,התחלה,"(33.005117, 35.215490)",33.0051167,35.2154899
256,2022-10-24_יחיעם_כברי_געתון.gpx,סיום,"(33.005079, 35.215515)",33.0050786,35.2155153
257,2022-10-26_יחיעם_כברי_געתון.gpx,התחלה,"(33.005125, 35.215499)",33.0051255,35.2154995
257,2022-10-26_יחיעם_כברי_געתון.gpx,סיום,"(33.005064, 35.215525)",33.0050639,35.2155251
258,2022-10-27_כפר מסריק_יסעור_עין המפרץ.gpx,התחלה,"(32.895343, 35.096004)",32.8953432,35.0960039
258,2022-10-27_כפר מסריק_יסעור_עין המפרץ.gpx,סיום,"(32.895714, 35.095871)",32.8957144,35.0958706
262,2022-11-09_יחיעם_כברי_געתון.gpx,התחלה,"(33.005076, 35.215472)",33.0050764,35.2154722
262,2022-11-09_יחיעם_כברי_געתון.gpx,סיום,"(33.005038, 35.215542)",33.0050385,35.2155423
263,2022-11-11_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005074, 35.215451)",33.0050741,35.2154514
263,2022-11-11_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005122, 35.215550)",33.0051221,35.2155498
264,2022-11-17_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005055, 35.215505)",33.0050554,35.2155052
264,2022-11-17_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005039, 35.215524)",33.0050389,35.2155237
265,2022-11-18_יחיעם_כברי_געתון.gpx,התחלה,"(33.005096, 35.215415)",33.005096,35.2154146
265,2022-11-18_יחיעם_כברי_געתון.gpx,סיום,"(33.005057, 35.215541)",33.0050571,35.2155405
266,2022-11-19_יחיעם_מעיליא_מעונה.gpx,התחלה,"(33.005132, 35.215369)",33.0051321,35.2153688
266,2022-11-19_יחיעם_מעיליא_מעונה.gpx,סיום,"(33.021500, 35.262040)",33.0214999,35.2620403
267,2022-11-23_מצובה_יערה.gpx,התחלה,"(33.065117, 35.160696)",33.0651166,35.1606964
267,2022-11-23_מצובה_יערה.gpx,סיום,"(33.064968, 35.160720)",33.0649682,35.1607205
269,2022-11-30_כברי_כפר ראש הנקרה_סער.gpx,התחלה,"(33.018378, 35.142675)",33.0183779,35.1426749
269,2022-11-30_כברי_כפר ראש הנקרה_סער.gpx,סיום,"(33.018438, 35.142681)",33.0184376,35.1426806
271,2022-12-05_נווה זוהר.gpx,התחלה,"(31.199469, 35.364700)",31.1994688,35.3646995
271,2022-12-05_נווה זוהר.gpx,סיום,"(31.199521, 35.364638)",31.199521,35.364638
272,2022-12-06_נווה זוהר.gpx,התחלה,"(31.199536, 35.364535)",31.1995359,35.3645347
272,2022-12-06_נווה זוהר.gpx,סיום,"(31.199528, 35.364645)",31.1995285,35.3646454
273,2022-12-07_נווה זוהר.gpx,התחלה,"(31.199596, 35.364584)",31.1995962,35.3645841
273,2022-12-07_נווה זוהר.gpx,סיום,"(31.199523, 35.364635)",31.1995226,35.3646352
274,2022-12-08_נווה זוהר.gpx,התחלה,"(31.199517, 35.364576)",31.1995175,35.3645759
274,2022-12-08_נווה זוהר.gpx,סיום,"(31.199507, 35.364612)",31.1995067,35.3646117
276,2022-12-12_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005594, 35.215413)",33.0055944,35.2154135
276,2022-12-12_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005085, 35.215504)",33.0050846,35.215504
277,2022-12-16_יחיעם_כברי_געתון.gpx,התחלה,"(33.005103, 35.215515)",33.005103,35.2155151
277,2022-12-16_יחיעם_כברי_געתון.gpx,סיום,"(33.005054, 35.215517)",33.0050544,35.2155166
278,2022-12-17_יחיעם_כברי_מעונה.gpx,התחלה,"(33.005046, 35.215473)",33.0050459,35.2154726
278,2022-12-17_יחיעם_כברי_מעונה.gpx,סיום,"(33.021718, 35.261938)",33.0217183,35.2619377
279,2022-12-21_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005067, 35.215475)",33.0050668,35.215475
279,2022-12-21_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005103, 35.215473)",33.005103,35.2154732
281,2022-12-28_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,התחלה,"(33.005121, 35.215440)",33.0051213,35.2154403
281,2022-12-28_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,סיום,"(33.005111, 35.215497)",33.0051112,35.2154969
283,2023-01-09_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005015, 35.215432)",33.0050151,35.2154316
283,2023-01-09_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005039, 35.215503)",33.0050394,35.2155033
285,2023-01-11_מצובה_יערה.gpx,התחלה,"(33.064938, 35.160832)",33.0649382,35.1608319
285,2023-01-11_מצובה_יערה.gpx,סיום,"(33.064944, 35.160794)",33.0649438,35.1607936
286,2023-01-18_יחיעם_גשר הזיו_געתון.gpx,התחלה,"(33.005062, 35.215446)",33.0050617,35.215446
286,2023-01-18_יחיעם_גשר הזיו_געתון.gpx,סיום,"(33.005062, 35.215485)",33.0050623,35.2154845
287,2023-01-25_נווה זוהר.gpx,התחלה,"(31.199784, 35.364813)",31.199784,35.3648127
287,2023-01-25_נווה זוהר.gpx,סיום,"(31.198957, 35.365629)",31.1989574,35.3656287
288,2023-01-26_נווה זוהר.gpx,התחלה,"(31.199064, 35.365588)",31.1990645,35.3655884
288,2023-01-26_נווה זוהר.gpx,סיום,"(31.198975, 35.365643)",31.1989755,35.3656434
289,2023-01-27_נווה זוהר.gpx,התחלה,"(31.199107, 35.365471)",31.1991067,35.3654707
289,2023-01-27_נווה זוהר.gpx,סיום,"(31.199026, 35.365613)",31.1990259,35.3656134
290,2023-01-28_נווה זוהר.gpx,התחלה,"(31.199073, 35.365461)",31.1990734,35.3654611
290,2023-01-28_נווה זוהר.gpx,סיום,"(31.199534, 35.364414)",31.1995344,35.3644142
291,2023-02-17_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005079, 35.215585)",33.005079,35.2155854
291,2023-02-17_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005081, 35.215580)",33.0050808,35.2155802
294,2023-02-24_אליפז.gpx,התחלה,"(29.760152, 34.968890)",29.7601519,34.9688899
294,2023-02-24_אליפז.gpx,סיום,"(29.760216, 34.968887)",29.7602164,34.9688872
295,2023-03-20_נווה זוהר.gpx,התחלה,"(31.195551, 35.361633)",31.1955506,35.3616332
295,2023-03-20_נווה זוהר.gpx,סיום,"(31.202103, 35.366188)",31.2021031,35.3661884
296,2023-03-21_נווה זוהר.gpx,התחלה,"(31.195473, 35.361644)",31.1954734,35.3616441
296,2023-03-21_נווה זוהר.gpx,סיום,"(31.195546, 35.361612)",31.1955458,35.3616122
297,2023-03-22_נווה זוהר.gpx,התחלה,"(31.195396, 35.361441)",31.1953956,35.3614406
297,2023-03-22_נווה זוהר.gpx,סיום,"(31.195369, 35.361411)",31.1953688,35.3614112
