שם קובץ,סוג אלמנט,כמות נקודות,% נקודות עם זמן,"מרחק (ק""מ)",משך (דק'),"מהירות ממוצעת (קמ""ש)",מרווח ממוצע בין נקודות (מ'),creator,סיווג פעילות,סיווג מקור,הערות
2015-07-06 0635__20150706_0635.gpx,trk (מסלול/הקלטה),493,100.0,14.04,74.5,11.3,28.5,OruxMaps v.6.0.9,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.6.0.9 ; מבוסס מהירות ממוצעת מחושבת: 11.3 קמ״ש
2015-12-03 1352__20151203_1352.gpx,trk (מסלול/הקלטה),2669,100.0,27.87,127.2,13.1,10.4,OruxMaps v.6.0.10,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.6.0.10 ; מבוסס מהירות ממוצעת מחושבת: 13.1 קמ״ש
2015-12-04 0601__20151204_0601.gpx,trk (מסלול/הקלטה),8000,100.0,75.03,415.3,10.8,9.4,OruxMaps v.6.0.10,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.6.0.10 ; מבוסס מהירות ממוצעת מחושבת: 10.8 קמ״ש
2016_0909_GvaotTivonNachalKisson.gpx,trk (מסלול/הקלטה),2580,100.0,31.24,345.3,5.4,12.1,CompeGPS,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 5.4 קמ״ש
2017_0620_Yarkon_TA_RG.gpx,trk (מסלול/הקלטה),1365,100.0,16.49,133.6,7.4,12.1,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 7.4 קמ״ש
2019-04-12-01_TIMNA1.gpx,trk (מסלול/הקלטה),2911,100.0,34.21,375.8,5.5,11.8,CompeGPS,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 5.5 קמ״ש
2023-09-04מצובה .gpx,trk (מסלול/הקלטה),406,100.0,8.36,217.4,2.3,20.6,OruxMaps v.10.1.8 GP,הליכה רגלית,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.1.8 GP ; מבוסס מהירות ממוצעת מחושבת: 2.3 קמ״ש
2023-10-03 212334__20231003_2123.gpx,trk (מסלול/הקלטה),1,100.0,0.0,0.0,,,OruxMaps v.10.1.9 GP,לא ברור,הקלטה,"creator מזהה כלי הקלטה ידוע: OruxMaps v.10.1.9 GP ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
2023-10-07 144042__20231007_1440.gpx,trk (מסלול/הקלטה),3059,100.0,218.36,1577.5,8.3,71.4,OruxMaps v.10.1.9 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.1.9 GP ; מבוסס מהירות ממוצעת מחושבת: 8.3 קמ״ש
2023-10-14 080041__20231014_0800.gpx,trk (מסלול/הקלטה),186,100.0,5.28,39.4,8.0,28.5,OruxMaps v.10.1.9 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.1.9 GP ; מבוסס מהירות ממוצעת מחושבת: 8.0 קמ״ש
2023-10-21 103213__20231021_1032.gpx,trk (מסלול/הקלטה),399,100.0,9.81,51.8,11.4,24.6,OruxMaps v.10.1.9 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.1.9 GP ; מבוסס מהירות ממוצעת מחושבת: 11.4 קמ״ש
2023-11-20 114934__20231120_1149.gpx,trk (מסלול/הקלטה),481,100.0,105.88,82.2,77.3,220.6,OruxMaps v.10.1.9 GP,לא ברור (מהירות חריגה: 77.3 קמ״ש),הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.1.9 GP ; מבוסס מהירות ממוצעת מחושבת: 77.3 קמ״ש
2023-11-23 122024__20231123_1220.gpx,trk (מסלול/הקלטה),313,100.0,11.01,59.5,11.1,35.3,OruxMaps v.10.1.9 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.1.9 GP ; מבוסס מהירות ממוצעת מחושבת: 11.1 קמ״ש
2023-11-29 130310__20231129_1303.gpx,trk (מסלול/הקלטה),214,100.0,98.74,62.8,94.3,463.6,OruxMaps v.10.5.0 GP,לא ברור (מהירות חריגה: 94.3 קמ״ש),הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.5.0 GP ; מבוסס מהירות ממוצעת מחושבת: 94.3 קמ״ש
2023-12-19 113352__20231219_1133.gpx,trk (מסלול/הקלטה),400,100.0,12.33,70.7,10.5,30.9,OruxMaps v.10.5.0 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.5.0 GP ; מבוסס מהירות ממוצעת מחושבת: 10.5 קמ״ש
2023-12-31 140538__20231231_1405.gpx,trk (מסלול/הקלטה),343,100.0,104.7,62.7,100.2,306.1,OruxMaps v.10.5.0 GP,לא ברור (מהירות חריגה: 100.2 קמ״ש),הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.5.0 GP ; מבוסס מהירות ממוצעת מחושבת: 100.2 קמ״ש
2024-01-03 133218__20240103_1332.gpx,trk (מסלול/הקלטה),458,100.0,12.52,62.2,12.1,27.4,OruxMaps v.10.5.0 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.5.0 GP ; מבוסס מהירות ממוצעת מחושבת: 12.1 קמ״ש
2024-02-05 185714__20240205_1857.gpx,trk (מסלול/הקלטה),1,100.0,0.0,0.0,,,OruxMaps v.10.5.0 GP,לא ברור,הקלטה,"creator מזהה כלי הקלטה ידוע: OruxMaps v.10.5.0 GP ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
2024-02-06 115830__20240206_1158.gpx,trk (מסלול/הקלטה),14,100.0,130.66,21517.9,0.4,10050.5,OruxMaps v.10.5.0 GP,הליכה רגלית,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.5.0 GP ; מבוסס מהירות ממוצעת מחושבת: 0.4 קמ״ש
2024-09-14_1859116312_GPX Download_ Le Petit Balcon Nord - Chamonix-Mont-Blanc - Trail - Loop.gpx,trk (מסלול/הקלטה),458,100.0,17.17,141.8,7.3,37.6,https://www.komoot.de,רכיבת אופניים,תכנון מסלול,creator מזהה כלי תכנון ידוע: https://www.komoot.de ; מבוסס מהירות ממוצעת מחושבת: 7.3 קמ״ש
2025-04-25_08-02-24_hk_1745557344.gpx,trk (מסלול/הקלטה),22379,100.0,8.52,379.0,1.3,0.4,RunGap 946 with Barometer,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 1.3 קמ״ש
2025-04-26_08-30-11_hk_1745645411.gpx,trk (מסלול/הקלטה),16027,100.0,10.08,267.3,2.3,0.6,RunGap 946 with Barometer,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 2.3 קמ״ש
2025-05-03_חרבת חממה שביל הפסגה חניון הפיתול.gpx,trk (מסלול/הקלטה),14687,100.0,12.41,244.8,3.0,0.8,RunGap 998 with Barometer,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 3.0 קמ״ש
2025-05-15_09-21-31_hk_1747290091.gpx,trk (מסלול/הקלטה),15996,100.0,5.51,267.2,1.2,0.3,RunGap 953 with Barometer,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 1.2 קמ״ש
2025-05-15_נבי חזורי קלעת נמרוד בניאס.gpx,trk (מסלול/הקלטה),15996,100.0,5.51,267.2,1.2,0.3,RunGap 998 with Barometer,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 1.2 קמ״ש
2025-10-17_הקלטה חניון הפיתול שמורת נחל עמוד.gpx,trk (מסלול/הקלטה),17698,100.0,7.8,296.2,1.6,0.4,RunGap 998 with Barometer,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 1.6 קמ״ש
2025-10-25 עין הוד מצפה עופר.gpx,trk (מסלול/הקלטה),390,100.0,8.36,394.2,1.3,21.5,OruxMaps v.10.7.4 GP,הליכה רגלית,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 1.3 קמ״ש
2026-01-28_07-56-11_hk_1769579771.gpx,trk (מסלול/הקלטה),13335,100.0,11.29,222.6,3.0,0.8,RunGap 1068 with Barometer,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 3.0 קמ״ש
2026-05-27 075530__20260527_0755.gpx,trk (מסלול/הקלטה),274,100.0,6.21,39.8,9.4,22.8,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 9.4 קמ״ש
2026-05-30 072357__20260530_0723.gpx,trk (מסלול/הקלטה),965,100.0,21.54,157.5,8.2,22.3,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 8.2 קמ״ש
2026-06-02 שבי-ציון_עכו_קרית-אתא_חזרה.gpx,trk (מסלול/הקלטה),1922,100.0,374.65,200.7,112.0,195.0,OruxMaps v.10.7.4 GP,לא ברור (מהירות חריגה: 112.0 קמ״ש),הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 112.0 קמ״ש
2026-06-06 געתון_רגבה_עכו.gpx,trk (מסלול/הקלטה),1137,100.0,25.79,145.6,10.6,22.7,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 10.6 קמ״ש
2026-06-11 הר-חרמון_גבעות-קרב_הליכה.gpx,trk (מסלול/הקלטה),239,100.0,25.51,248.6,6.2,107.2,OruxMaps v.10.7.4 GP,הליכה רגלית,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 6.2 קמ״ש
2026-06-13 כברי_גורן-הקטן_נוף-חניתה_כברי.gpx,trk (מסלול/הקלטה),4591,100.0,35.78,151.3,14.2,7.8,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 14.2 קמ״ש
2026-06-20  כברי ערמשאה שתולה גורן .gpx,trk (מסלול/הקלטה),8335,100.0,61.76,294.9,12.6,7.4,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 12.6 קמ״ש
2026-06-24 געתון_נהריה_ראש-הנקרה_נהריה_געתון.gpx,trk (מסלול/הקלטה),6402,100.0,45.67,163.7,16.7,7.1,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 16.7 קמ״ש
2026-06-30 כברי_עבדון_יערב_נוף-חניתה_לימן_נהריה_כברי.gpx,trk (מסלול/הקלטה),5237,100.0,37.23,153.9,14.5,7.1,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 14.5 קמ״ש
2026-07-01 סינגל_יחיעם_עליון.gpx,trk (מסלול/הקלטה),2338,100.0,16.06,96.1,10.0,6.9,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 10.0 קמ״ש
2026-07-03 סינגל חניתה.gpx,trk (מסלול/הקלטה),3401,100.0,23.47,155.0,9.1,6.9,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 9.1 קמ״ש
2026-07-04 געתון_חרדלית_מנות_הילה_עין_זיו_חרדלית_געתון.gpx,trk (מסלול/הקלטה),2193,100.0,49.99,357.3,8.4,22.8,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 8.4 קמ״ש
2026-07-07_17-15-55_hk_1783433755.gpx,trk (מסלול/הקלטה),7422,100.0,32.89,125.2,15.8,4.4,RunGap 1138 with Barometer,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 15.8 קמ״ש
2026-08-08 062707__20260808_0627.gpx,trk (מסלול/הקלטה),1956,100.0,44.14,186.8,14.2,22.6,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 14.2 קמ״ש
2026-08-08_06-26-37_hk_1786159597.gpx,trk (מסלול/הקלטה),14801,100.0,52.06,250.7,12.5,3.5,RunGap 1138 with Barometer,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 12.5 קמ״ש
2026-08-09 074647__20260809_0746.gpx,trk (מסלול/הקלטה),653,100.0,14.29,90.1,9.5,21.9,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 9.5 קמ״ש
2026-08-11_17-25-39_fi_E9B8658A-7732-4786-B526-637949DD4349.gpx,trk (מסלול/הקלטה),1455,100.0,33.62,124.1,16.3,23.1,RunGap 1138 with Barometer,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 16.3 קמ״ש
2026-08-14 06_23_39.gpx,trk (מסלול/הקלטה),1917,100.0,43.61,241.3,10.8,22.8,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 10.8 קמ״ש
444-fietsroute-universiteit-leiden-444.gpx,trk (מסלול/הקלטה),1034,100.0,44.38,10.7,250.0,43.0,Wikiloc - https://www.wikiloc.com,לא ברור (מהירות חריגה: 250.0 קמ״ש),הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 250.0 קמ״ש
aradnz.gpx,trk (מסלול/הקלטה),3307,100.0,30.51,43103.5,0.0,9.2,CompeGPS,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 0.0 קמ״ש
Danube_Cycle_Path_-_The_Black_Forest_to_the_Black_Sea.gpx,trk (מסלול/הקלטה),31295,0.0,3070.82,0.0,,98.1,http://ridewithgps.com/,רכיבת אופניים (לפי שם קובץ בלבד),תכנון מסלול,כמעט אין timestamps על הנקודות
DOC-20260422-WA0022.gpx,rte (route מתוכנן),1212,0.0,27.74,0.0,,22.9,Mapeak_route,לא ברור,תכנון מסלול (route),"הקובץ מבוסס rte, לא trk - מבנה טיפוסי לתכנון ולא להקלטה ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
Gaaton shomrat.gpx,trk (מסלול/הקלטה),4440,100.0,21.43,74.0,17.4,4.8,RunGap 990 with Barometer,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 17.4 קמ״ש
hila kziv.gpx,trk (מסלול/הקלטה),113,0.0,9.78,0.0,,87.3,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
Israel National Trail-24-05-26.gpx,trk (מסלול/הקלטה),41453,0.0,1188.45,0.0,,28.7,OpenStreetMap relation export,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
kabri (1).gpx,trk (מסלול/הקלטה),1675,100.0,16.13,147.1,6.6,9.6,CompeGPS,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 6.6 קמ״ש
Leiden_bikeTour_444.gpx,trk (מסלול/הקלטה),40,0.0,64.64,0.0,,1657.5,Claude AI,רכיבת אופניים (לפי שם קובץ בלבד),תכנון מסלול,כמעט אין timestamps על הנקודות
maagar_bental_ein_zivan_loop_refined.gpx,trk (מסלול/הקלטה),20,0.0,6.97,0.0,,367.0,ChatGPT,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
maanitkkl1-2025-01-17_063500.gpx,trk (מסלול/הקלטה),2488,100.0,27.03,227.7,7.1,10.9,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 7.1 קמ״ש
neve-zohar-neot-hakikar-single.gpx,trk (מסלול/הקלטה),2207,100.0,26.96,187.0,8.7,12.2,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 8.7 קמ״ש
offroad-סינגל חניתה.gpx,trk (מסלול/הקלטה),353,100.0,13.62,110.6,7.4,38.7,Patrick Hooper,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 7.4 קמ״ש
Singel Kabri.gpx,trk (מסלול/הקלטה),985,0.0,15.45,0.0,,15.7,outdooractive - http://www.outdooractive.com,לא ברור,תכנון מסלול,"creator מזהה כלי תכנון ידוע: outdooractive - http://www.outdooractive.com ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
t237270255_argentiereaiguilles des.gpx,trk (מסלול/הקלטה),402,100.0,16.18,66.8,14.5,40.3,outdooractive - http://www.outdooractive.com,רכיבת אופניים,תכנון מסלול,creator מזהה כלי תכנון ידוע: outdooractive - http://www.outdooractive.com ; מבוסס מהירות ממוצעת מחושבת: 14.5 קמ״ש
Tikhedunga to ladruk.gpx,trk (מסלול/הקלטה),5074,100.0,42.34,825.3,3.1,8.3,AllTrails.com,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 3.1 קמ״ש
tlv.gpx,trk (מסלול/הקלטה),592,100.0,38.78,256.1,9.1,65.6,GPS Visualizer http://www.gpsvisualizer.com/,רכיבת אופניים,תכנון מסלול,creator מזהה כלי תכנון ידוע: GPS Visualizer http://www.gpsvisualizer.com/ ; מבוסס מהירות ממוצעת מחושבת: 9.1 קמ״ש
Vienna_to_Budapest.gpx,trk (מסלול/הקלטה),1882,0.0,302.68,0.0,,160.9,http://ridewithgps.com/,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
yarkon4a.gpx,trk (מסלול/הקלטה),6224,100.0,75.24,415.5,10.9,12.1,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 10.9 קמ״ש
אילת השחר -ריחניה-דישון-אילת השחר.gpx,trk (מסלול/הקלטה),275,0.0,31.0,0.0,,113.1,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
אליעד לנטור.gpx,trk (מסלול/הקלטה),350,0.0,13.49,0.0,,38.6,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
אמפי גולן - מבוא חמה.gpx,trk (מסלול/הקלטה),177,0.0,8.36,0.0,,47.5,Nakeb,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
באר אורה אילת.gpx,trk (מסלול/הקלטה),378,0.0,39.39,0.0,,104.5,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
בארי משפחות כחול.GPX,trk (מסלול/הקלטה),776,100.0,9.51,85.5,6.7,12.3,CompeGPS,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 6.7 קמ״ש
בארי משפחות כתום.GPX,trk (מסלול/הקלטה),719,100.0,9.13,78.2,7.0,12.7,CompeGPS,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 7.0 קמ״ש
בארי שוקדה בשור.gpx,trk (מסלול/הקלטה),1094,0.0,23.49,0.0,,21.5,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
בארי שוקדה עם קיצורים.gpx,trk (מסלול/הקלטה),4888,90.1,64.06,283.0,13.6,13.1,IsraelHikingMap,רכיבת אופניים,הקלטה,90.1% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 13.6 קמ״ש
בארי שוקדה.gpx,trk (מסלול/הקלטה),4388,100.0,49.78,283.0,10.6,11.3,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 10.6 קמ״ש
בולבוסים-יהל קטורה.gpx,trk (מסלול/הקלטה),3502,100.0,35.92,204.4,10.5,10.3,Sports Tracker,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 10.5 קמ״ש
בין שדה בוקר לעובדת רז גורן.gpx,trk (מסלול/הקלטה),3402,100.0,35.05,332.2,6.3,10.3,CompeGPS,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 6.3 קמ״ש
בית גוברין תל ארד.GPX,trk (מסלול/הקלטה),888,100.0,82.69,496.1,10.0,93.2,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 10.0 קמ״ש
בית חנניה לנחל תנינים.gpx,trk (מסלול/הקלטה),608,100.0,16.23,10.1,96.2,26.7,Patrick Hooper,לא ברור (מהירות חריגה: 96.2 קמ״ש),הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 96.2 קמ״ש
געתון -עין מירב- עין אשחר - נחל געתון- עין יעקב 180-8.gpx,trk (מסלול/הקלטה),257,0.0,7.75,0.0,,30.3,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
געתון גבעת העץ יחיעם געתון.gpx,trk (מסלול/הקלטה),11196,100.0,7.49,186.6,2.4,0.7,RunGap 976 with Barometer,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 2.4 קמ״ש
געתון גבעת העץ1.gpx,trk (מסלול/הקלטה),120,0.0,6.84,0.0,,57.5,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
געתון הר בטח געתון 2.gpx,trk (מסלול/הקלטה),97,0.0,10.54,0.0,,109.8,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
געתון הר בטח געתון.gpx,trk (מסלול/הקלטה),98,0.0,10.24,0.0,,105.6,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
געתון כזיב אכזיב.gpx,trk (מסלול/הקלטה),208,0.0,27.23,0.0,,131.6,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
געתון סינגל מצובה בצת געתון 2026-08-14_062339.gpx,trk (מסלול/הקלטה),1917,100.0,43.61,241.3,10.8,22.8,OruxMaps v.10.7.4 GP,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: OruxMaps v.10.7.4 GP ; מבוסס מהירות ממוצעת מחושבת: 10.8 קמ״ש
געתון רגלי עין מירב עין שחר.gpx,trk (מסלול/הקלטה),110,0.0,2.39,0.0,,21.9,IsraelHikingMap_single_track,הליכה רגלית (לפי שם קובץ בלבד),תכנון מסלול,כמעט אין timestamps על הנקודות
גשר עירון.GPX,trk (מסלול/הקלטה),561,100.0,79.34,476.0,10.0,141.7,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 10.0 קמ״ש
דן-גשר.GPX,trk (מסלול/הקלטה),612,100.0,95.42,572.5,10.0,156.2,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 10.0 קמ״ש
דרגון וקטורה יוטבתה.gpx,trk (מסלול/הקלטה),1042,0.0,48.51,0.0,,46.6,http://ridewithgps.com/,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
הילה כזיב הילה2.gpx,trk (מסלול/הקלטה),95,100.0,7.38,227.6,1.9,78.5,Wikiloc - https://www.wikiloc.com,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 1.9 קמ״ש
הילה כרמיאל הילה.gpx,trk (מסלול/הקלטה),118,0.0,64.36,0.0,,550.1,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
הילה מונפורט.gpx,rte (route מתוכנן),137,0.0,2.87,0.0,,21.1,IsraelHikingMap_route,לא ברור,תכנון מסלול (route),"הקובץ מבוסס rte, לא trk - מבנה טיפוסי לתכנון ולא להקלטה ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
