שם קובץ,סוג אלמנט,כמות נקודות,% נקודות עם זמן,"מרחק (ק""מ)",משך (דק'),"מהירות ממוצעת (קמ""ש)",מרווח ממוצע בין נקודות (מ'),creator,סיווג פעילות,סיווג מקור,הערות
ממאגר בנטל לעין זיוון - שביל הגולן מקטע 5 .gpx,trk (מסלול/הקלטה),224,0.0,10.39,0.0,,46.6,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
ממשית-מצפה-רמון.GPX,trk (מסלול/הקלטה),291,0.7,75.68,454.1,10.0,261.0,CompeGPS,רכיבת אופניים,תכנון מסלול,כמעט אין timestamps על הנקודות ; מבוסס מהירות ממוצעת מחושבת: 10.0 קמ״ש
מנגו הללוייה שדה בוקר.gpx,trk (מסלול/הקלטה),670,0.0,16.21,0.0,,24.2,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
מסביב להר שפנים - בית גאן.gpx,trk (מסלול/הקלטה),121,100.0,9.37,191.3,2.9,78.1,Wikiloc - https://www.wikiloc.com,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 2.9 קמ״ש
מסביב להררית.gpx,trk (מסלול/הקלטה),85,100.0,6.54,180.7,2.2,77.8,Wikiloc - https://www.wikiloc.com,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 2.2 קמ״ש
מסלול הר יזרח נוה זוהר.gpx,trk (מסלול/הקלטה),76,0.0,6.28,0.0,,83.8,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
מעגליסביבמקורותהירדןליוםקיץ.gpx,trk (מסלול/הקלטה),2267,100.0,26.72,160.3,10.0,11.8,GPSies http://www.gpsies.com - &#1502;&#1506;&#1490;&#1500;&#1497; &#1505;&#1489;&#1497;&#1489; &#1502;&#1511;&#1493;&#1512;&#1493;&#1514; &#1492;&#1497;&#1512;&#1491;&#1503; &#1500;&#1497;&#1493;&#1501; &#1511;&#1497;&#1509;,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 10.0 קמ״ש
מעלה מור - לבונה.gpx,rte (route מתוכנן),157,0.0,5.25,0.0,,33.7,IsraelHikingMap_route,לא ברור,תכנון מסלול (route),"הקובץ מבוסס rte, לא trk - מבנה טיפוסי לתכנון ולא להקלטה ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
מעלות עין זיו.gpx,trk (מסלול/הקלטה),26,0.0,4.5,0.0,,180.0,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
מצפה-רמון-פארן.GPX,trk (מסלול/הקלטה),703,0.3,83.42,500.5,10.0,118.8,CompeGPS,רכיבת אופניים,תכנון מסלול,כמעט אין timestamps על הנקודות ; מבוסס מהירות ממוצעת מחושבת: 10.0 קמ״ש
מרות-קציון שדה אליעזר.gpx,trk (מסלול/הקלטה),179,100.0,8.79,343.2,1.5,49.4,Wikiloc - https://www.wikiloc.com,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 1.5 קמ״ש
נחל גילבון.gpx,ריק/לא מזוהה,0,0.0,0.0,0.0,,,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
נחל כזיב.gpx,trk (מסלול/הקלטה),12312,0.0,24.15,0.0,,2.0,CompeGPS,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
נחל נמר אדמית.gpx,trk (מסלול/הקלטה),452,0.0,8.89,0.0,,19.7,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
נחל עמוד עליון חניון שמורת נחל עמוד.gpx,trk (מסלול/הקלטה),96,0.0,5.05,0.0,,53.2,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
נחל עמוד עליון נחל מירון.gpx,trk (מסלול/הקלטה),94,0.0,6.59,0.0,,70.9,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
נחל רחף הלוך וחזור.gpx,rte (route מתוכנן),48,0.0,1.63,0.0,,34.7,IsraelHikingMap_route,לא ברור,תכנון מסלול (route),"הקובץ מבוסס rte, לא trk - מבנה טיפוסי לתכנון ולא להקלטה ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
נחל שיח חיפה.gpx,trk (מסלול/הקלטה),103,0.0,3.54,0.0,,34.7,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
נחל שרך הליכה.gpx,trk (מסלול/הקלטה),44,0.0,5.22,0.0,,121.5,,הליכה רגלית (לפי שם קובץ בלבד),תכנון מסלול,כמעט אין timestamps על הנקודות
נקיקי יפתח מצודת כוח קרן נפתלי.gpx,trk (מסלול/הקלטה),613,0.0,11.31,0.0,,18.5,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
סובב בית הכרם צפון.gpx,rte (route מתוכנן),1051,0.0,34.68,0.0,,33.0,Mapeak_route,לא ברור,תכנון מסלול (route),"הקובץ מבוסס rte, לא trk - מבנה טיפוסי לתכנון ולא להקלטה ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
סובב טבעון .gpx,ריק/לא מזוהה,0,0.0,0.0,0.0,,,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
סובב טבעון.gpx,trk (מסלול/הקלטה),3035,87.3,30.49,236.9,7.7,10.0,IsraelHikingMap,רכיבת אופניים,הקלטה,87.3% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 7.7 קמ״ש
סובב כרכום כפר הנשיא.gpx,trk (מסלול/הקלטה),115,0.0,29.11,0.0,,255.4,outdooractive - http://www.outdooractive.com,לא ברור,תכנון מסלול,"creator מזהה כלי תכנון ידוע: outdooractive - http://www.outdooractive.com ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
סובב מירון 11-440-.gpx,trk (מסלול/הקלטה),192,60.4,10.87,291.1,2.2,56.9,IsraelHikingMap,הליכה רגלית,לא ברור,מבוסס מהירות ממוצעת מחושבת: 2.2 קמ״ש
סינגל אחיהוד התחלה בטל אל.GPX,trk (מסלול/הקלטה),1819,100.0,20.86,109.8,11.4,11.5,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 11.4 קמ״ש
סינגל בירייה ודישון.gpx,trk (מסלול/הקלטה),3757,100.0,44.88,317.6,8.5,11.9,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 8.5 קמ״ש
סינגל גבעת המורה 1.gpx,rte (route מתוכנן),1159,0.0,28.77,0.0,,24.8,IsraelHikingMap_route,לא ברור,תכנון מסלול (route),"הקובץ מבוסס rte, לא trk - מבנה טיפוסי לתכנון ולא להקלטה ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
סינגל חמרית מפעלי ים המלח.gpx,trk (מסלול/הקלטה),289,0.0,39.05,0.0,,135.6,CompeGPS,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
סינגל חניתה 1.gpx,trk (מסלול/הקלטה),1217,0.0,15.7,0.0,,12.9,IsraelHikingMap_single_track,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
סינגל יחיעם 2.GPX,trk (מסלול/הקלטה),3153,95.9,27.05,4665.2,0.3,8.6,CompeGPS,הליכה רגלית,הקלטה,95.9% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 0.3 קמ״ש
סינגל יחיעם המחודש.gpx,trk (מסלול/הקלטה),1427,0.0,27.34,0.0,,19.2,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
סינגל יחיעם כפר ורדים סמיע.gpx,trk (מסלול/הקלטה),366,100.0,40.93,68.2,36.0,112.1,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 36.0 קמ״ש
סינגל רמים הרי נפתלי.GPX,trk (מסלול/הקלטה),1980,100.0,23.4,251.2,5.6,11.8,CompeGPS,הליכה רגלית,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 5.6 קמ״ש
עין הוד יער עופר שביל ישראל.gpx,trk (מסלול/הקלטה),552,0.0,8.46,0.0,,15.4,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
עין המפרץ.gpx,trk (מסלול/הקלטה),2869,0.0,64.71,0.0,,22.6,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
עירון ראש העין .GPX,trk (מסלול/הקלטה),817,0.2,104.64,621.0,10.1,128.2,CompeGPS,רכיבת אופניים,תכנון מסלול,כמעט אין timestamps על הנקודות ; מבוסס מהירות ממוצעת מחושבת: 10.1 קמ״ש
ערד מצדה נוה זוהר.gpx,trk (מסלול/הקלטה),3931,100.0,37.42,258.9,8.7,9.5,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 8.7 קמ״ש
ערד שפך זוהר.gpx,trk (מסלול/הקלטה),3286,100.0,39.58,312.2,7.6,12.0,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 7.6 קמ״ש
עתידים - פרק אפק מקורות הירקון.gpx,trk (מסלול/הקלטה),779,0.0,17.03,0.0,,21.9,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
פארן-שחרות.GPX,trk (מסלול/הקלטה),601,0.3,92.12,552.7,10.0,153.5,CompeGPS,רכיבת אופניים,תכנון מסלול,כמעט אין timestamps על הנקודות ; מבוסס מהירות ממוצעת מחושבת: 10.0 קמ״ש
צוק הנשרים.gpx,trk (מסלול/הקלטה),10,0.0,1.03,0.0,,114.3,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
קטורה.gpx,trk (מסלול/הקלטה),1318,100.0,17.22,122.6,8.4,13.1,StravatoGPX,רכיבת אופניים,הקלטה,creator מזהה כלי הקלטה ידוע: StravatoGPX ; מבוסס מהירות ממוצעת מחושבת: 8.4 קמ״ש
קלעת נמרוד שניר 2025-07-06.gpx,trk (מסלול/הקלטה),140,0.0,6.31,0.0,,45.4,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
ראש העין בית גוברין.GPX,trk (מסלול/הקלטה),878,0.2,84.6,507.6,10.0,96.5,CompeGPS,רכיבת אופניים,תכנון מסלול,כמעט אין timestamps על הנקודות ; מבוסס מהירות ממוצעת מחושבת: 10.0 קמ״ש
רכבל הכסאות ירידה רגלית.gpx,trk (מסלול/הקלטה),154,100.0,3.63,86.7,2.5,23.7,https://www.komoot.de,הליכה רגלית,תכנון מסלול,creator מזהה כלי תכנון ידוע: https://www.komoot.de ; מבוסס מהירות ממוצעת מחושבת: 2.5 קמ״ש
רכס סולם חניתה מצובה רז גורן.gpx,trk (מסלול/הקלטה),3592,100.0,42.27,283.0,9.0,11.8,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 9.0 קמ״ש
רכס רמים ירידה ברכבל.gpx,trk (מסלול/הקלטה),163,0.0,3.85,0.0,,23.8,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
שביל הבשור.gpx,ריק/לא מזוהה,0,0.0,0.0,0.0,,,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
שביל הגולן.gpx,trk (מסלול/הקלטה),3294,0.0,123.52,0.0,,37.5,Nakeb,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
שביל ישראל מקטע 1.gpx,trk (מסלול/הקלטה),15427,0.0,429.24,0.0,,27.8,OpenStreetMap relation export,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
שביל ישראל צבעון_ח_חממה_מורן_חורפיש.gpx,trk (מסלול/הקלטה),109,0.0,7.42,0.0,,68.7,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
שביל_ישראל - מקטע 16_בית חנניה - קיסריה.gpx,trk (מסלול/הקלטה),268,100.0,16.16,4.5,217.8,60.5,Patrick Hooper,לא ברור (מהירות חריגה: 217.8 קמ״ש),הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 217.8 קמ״ש
שביל_ישראל - מקטע 24 - צובה סטף עין כרם.gpx,trk (מסלול/הקלטה),1159,100.0,31.41,19.3,97.7,27.1,Patrick Hooper,לא ברור (מהירות חריגה: 97.7 קמ״ש),הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 97.7 קמ״ש
שביל_ישראל החדש - מקטע 1 - אתר השטח.gpx,trk (מסלול/הקלטה),589,100.0,17.83,9.8,109.2,30.3,Patrick Hooper,לא ברור (מהירות חריגה: 109.2 קמ״ש),הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 109.2 קמ״ש
שויצריה הקטנה.gpx,trk (מסלול/הקלטה),43,0.0,4.86,0.0,,115.7,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
שחרות-אילת.GPX,trk (מסלול/הקלטה),626,100.0,79.9,479.4,10.0,127.8,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 10.0 קמ״ש
תבור מעגלי.gpx,trk (מסלול/הקלטה),156,0.0,5.05,0.0,,32.6,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
תכ_חורבת רקית חניון נחל אורן תחתון.gpx,trk (מסלול/הקלטה),51,0.0,4.67,0.0,,93.3,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
תכנון ניר  חניון עיקול חניון עמוד.gpx,trk (מסלול/הקלטה),678,0.0,12.07,0.0,,17.8,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
תכנון שביל הפסגה חרבת חממה נחל נריה.gpx,trk (מסלול/הקלטה),436,0.0,7.76,0.0,,17.8,IsraelHikingMap,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
תכנון_בית-חנניה-קיסריה.gpx,trk (מסלול/הקלטה),66,0.0,7.63,0.0,,117.4,,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
תל אביב נתניה.gpx,trk (מסלול/הקלטה),3372,100.0,40.53,267.9,9.1,12.0,CompeGPS,רכיבת אופניים,הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 9.1 קמ״ש
תל ארד ממשית.GPX,trk (מסלול/הקלטה),299,0.7,49.87,299.2,10.0,167.4,CompeGPS,רכיבת אופניים,תכנון מסלול,כמעט אין timestamps על הנקודות ; מבוסס מהירות ממוצעת מחושבת: 10.0 קמ״ש
תמנע באר אורה אילת.gpx,trk (מסלול/הקלטה),218,100.0,35.72,0.0,,164.6,CompeGPS,לא ברור,הקלטה,"100.0% מהנקודות עם timestamp + הרבה נקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
‎⁨האיש שבקיר ומערת המקדש - אתר נָאקֶבּ 1⁩.gpx,trk (מסלול/הקלטה),178,0.0,4.79,0.0,,27.0,IsraelHikingMap_single_track,לא ברור,תכנון מסלול,"כמעט אין timestamps על הנקודות ; אין timestamps מספיקים לחישוב מהירות, ואין רמז ברור בשם הקובץ"
‎⁨שביל_ישראל-צפון_1⁩.gpx,trk (מסלול/הקלטה),3019,100.0,333.42,92.3,216.8,110.5,Patrick Hooper,לא ברור (מהירות חריגה: 216.8 קמ״ש),הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 216.8 קמ״ש
‎⁨שביל_ישראלמקטע1-אתרהשטח⁩.gpx,trk (מסלול/הקלטה),382,100.0,13.72,6.3,129.6,36.0,Patrick Hooper,לא ברור (מהירות חריגה: 129.6 קמ״ש),הקלטה,100.0% מהנקודות עם timestamp + הרבה נקודות ; מבוסס מהירות ממוצעת מחושבת: 129.6 קמ״ש
