מקור,יעד,פעולה,הערה
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\חוצה ישראל- ארנון\פארן-שחרות.GPX,C:\Users\yairr\GPX_files\פארן-שחרות.GPX,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\חוצה ישראל- ארנון\תל ארד ממשית.GPX,C:\Users\yairr\GPX_files\תל ארד ממשית.GPX,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\חוצה ישראל- ארנון\ראש העין בית גוברין.GPX,C:\Users\yairr\GPX_files\ראש העין בית גוברין.GPX,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\חוצה ישראל- ארנון\שחרות-אילת.GPX,C:\Users\yairr\GPX_files\שחרות-אילת.GPX,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\צפון\געתון רגלי עין מירב עין שחר.gpx,C:\Users\yairr\GPX_files\געתון רגלי עין מירב עין שחר.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\צפון\הילה מונפורט.gpx,C:\Users\yairr\GPX_files\הילה מונפורט.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\צפון\נחל שרך הליכה.gpx,C:\Users\yairr\GPX_files\נחל שרך הליכה.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\צפון\סינגל יחיעם כפר ורדים סמיע.gpx,C:\Users\yairr\GPX_files\סינגל יחיעם כפר ורדים סמיע.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\צפון\צוק הנשרים.gpx,C:\Users\yairr\GPX_files\כפילויות\צוק הנשרים.gpx,כפילות (הועבר לתיקיית כפילויות),זהה בתוכן ל: G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\Maps\מסלולי אופניים\צוק הנשרים.gpx
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\צפון\עין המפרץ.gpx,C:\Users\yairr\GPX_files\עין המפרץ.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\צפון\יחיעם ברגל.gpx,C:\Users\yairr\GPX_files\יחיעם ברגל.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\aradnz.gpx,C:\Users\yairr\GPX_files\aradnz.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\באר אורה אילת.gpx,C:\Users\yairr\GPX_files\באר אורה אילת.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\בולבוסים-יהל קטורה.gpx,C:\Users\yairr\GPX_files\בולבוסים-יהל קטורה.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\דרגון וקטורה יוטבתה.gpx,C:\Users\yairr\GPX_files\דרגון וקטורה יוטבתה.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\הר חזקיהו -אילת.gpx,C:\Users\yairr\GPX_files\הר חזקיהו -אילת.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\כפר הנוקדים ערד כביש.gpx,C:\Users\yairr\GPX_files\כפר הנוקדים ערד כביש.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\יהל יוטבתה 38.gpx,C:\Users\yairr\GPX_files\יהל יוטבתה 38.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\יהל.gpx,C:\Users\yairr\GPX_files\יהל.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\לוטן יהל לוטן תכנון.gpx,C:\Users\yairr\GPX_files\לוטן יהל לוטן תכנון.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\לוטן לאליפז.gpx,C:\Users\yairr\GPX_files\לוטן לאליפז.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\מנגו הללוייה שדה בוקר.gpx,C:\Users\yairr\GPX_files\מנגו הללוייה שדה בוקר.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\מעלה מור - לבונה.gpx,C:\Users\yairr\GPX_files\מעלה מור - לבונה.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\קטורה.gpx,C:\Users\yairr\GPX_files\קטורה.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\ערד מצדה נוה זוהר.gpx,C:\Users\yairr\GPX_files\ערד מצדה נוה זוהר.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\בריאות וספורט\אופניים\My Tracks\דרום\תמנע באר אורה אילת.gpx,C:\Users\yairr\GPX_files\תמנע באר אורה אילת.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\נושאים שונים\ייבוא נתונים\from Gmail\הילה כרמיאל הילה.gpx,C:\Users\yairr\GPX_files\הילה כרמיאל הילה.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\נושאים שונים\ייבוא נתונים\FromTablet\2015-07-06 0635__20150706_0635.gpx,C:\Users\yairr\GPX_files\2015-07-06 0635__20150706_0635.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\נושאים שונים\ייבוא נתונים\FromTablet\2015-12-04 0601__20151204_0601.gpx,C:\Users\yairr\GPX_files\2015-12-04 0601__20151204_0601.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\נושאים שונים\ייבוא נתונים\FromTablet\2015-12-03 1352__20151203_1352.gpx,C:\Users\yairr\GPX_files\2015-12-03 1352__20151203_1352.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\DOC-20260422-WA0022.gpx,C:\Users\yairr\GPX_files\DOC-20260422-WA0022.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\ארכיון\חופשות 2023\נפאל הימליה 10-23\מסלולים בנפאל\old basis\3Poon Hill Trek Ghorepani Doerali to Tadapani.gpx,C:\Users\yairr\GPX_files\3Poon Hill Trek Ghorepani Doerali to Tadapani.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\ארכיון\חופשות 2023\נפאל הימליה 10-23\מסלולים בנפאל\old basis\1Poon Hill Trek Tikhedunga to Ghorepani Doerali.gpx,C:\Users\yairr\GPX_files\1Poon Hill Trek Tikhedunga to Ghorepani Doerali.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\ארכיון\חופשות 2023\נפאל הימליה 10-23\מסלולים בנפאל\מסלולים לפי ימים מסעות בתבונה בהימליה\Tikhedunga to ladruk.gpx,C:\Users\yairr\GPX_files\Tikhedunga to ladruk.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\ארכיון\חופשות 2023\נפאל הימליה 10-23\מסלולים בנפאל\מסלולים לפי ימים מסעות בתבונה בהימליה\New folder\4-2benthanti to chuile.gpx,C:\Users\yairr\GPX_files\4-2benthanti to chuile.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\ארכיון\חופשות 2023\נפאל הימליה 10-23\מסלולים בנפאל\מסלולים לפי ימים מסעות בתבונה בהימליה\New folder\6Ghandruk to Jhinu Danda.gpx,C:\Users\yairr\GPX_files\6Ghandruk to Jhinu Danda.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\ארכיון\חופשות 2023\נפאל הימליה 10-23\מסלולים בנפאל\מסלולים לפי ימים מסעות בתבונה בהימליה\New folder\7-1jhinu-danda-landruk.gpx,C:\Users\yairr\GPX_files\7-1jhinu-danda-landruk.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\ארכיון\חופשות 2023\נפאל הימליה 10-23\מסלולים בנפאל\מסלולים לפי ימים מסעות בתבונה בהימליה\גירסאות מוקדמות\4doerali to chuile.gpx,C:\Users\yairr\GPX_files\4doerali to chuile.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\ארכיון\חופשות 2023\נפאל הימליה 10-23\מסלולים בנפאל\מסלולים לפי ימים מסעות בתבונה בהימליה\גירסאות מוקדמות\3-1Ghorepani Poon Hill Ghorepani Doeralii.gpx,C:\Users\yairr\GPX_files\3-1Ghorepani Poon Hill Ghorepani Doeralii.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\ארכיון\חופשות 2023\נפאל הימליה 10-23\מסלולים בנפאל\מסלולים לפי ימים מסעות בתבונה בהימליה\גירסאות מוקדמות\3Ghorepani Poon Hill Ghorepani Doeralii.gpx,C:\Users\yairr\GPX_files\3Ghorepani Poon Hill Ghorepani Doeralii.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\מסלולי טיול\מסלול הר יזרח נוה זוהר.gpx,C:\Users\yairr\GPX_files\מסלול הר יזרח נוה זוהר.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\מסלולי טיול\הילה עבדון נחל כזיב ביצוע.gpx,C:\Users\yairr\GPX_files\הילה עבדון נחל כזיב ביצוע.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\מסלולי טיול\נחל גילבון.gpx,C:\Users\yairr\GPX_files\נחל גילבון.gpx,הועבר,
G:\My Drive\רון - ניירת אישית\חופשות-טיסות\מסלולי טיול\געתון גבעת העץ יחיעם געתון.gpx,C:\Users\yairr\GPX_files\געתון גבעת העץ יחיעם געתון.gpx,הועבר,
