שם ישן,שם חדש,השתנה?,הערה
0000-00-00_יהל_1.gpx,0000-00-00_יהל_1.gpx,False,
0000-00-00_יהל_יטבתה.gpx,0000-00-00_יהל_יטבתה.gpx,False,
0000-00-00_יהל_קטורה.gpx,0000-00-00_יהל_קטורה.gpx,False,
0000-00-00_יחיעם_כברי_געתון.gpx,0000-00-00_געתון_כברי_געתון.gpx,True,
0000-00-00_יחיעם_כליל.gpx,0000-00-00_כליל_כליל.gpx,True,
0000-00-00_יחיעם_עין יעקב.gpx,0000-00-00_געתון_עין יעקב.gpx,True,
0000-00-00_יטבתה_קטורה_נווה חריף_קטורה_גרופית.gpx,0000-00-00_יטבתה_קטורה_נווה חריף_קטורה_גרופית.gpx,False,
0000-00-00_יערה_אדמית.gpx,0000-00-00_יערה_אדמית.gpx,False,
0000-00-00_יפתח_גונן_רמות נפתלי.gpx,0000-00-00_יפתח_גונן_רמות נפתלי.gpx,False,
0000-00-00_כברי_יערה_כפר רוזנואלד (זרעית)_אילון_מצובה.gpx,0000-00-00_כברי_יערה_כפר רוזנואלד (זרעית)_אילון_מצובה.gpx,False,
0000-00-00_כברי_נווה זיו.gpx,0000-00-00_כברי_נווה זיו.gpx,False,
0000-00-00_כברי_נווה זיו_1.gpx,0000-00-00_כברי_נווה זיו_1.gpx,False,
0000-00-00_כברי_שבי ציון_שייח' דנון.gpx,0000-00-00_כברי_שבי ציון_שייח' דנון.gpx,False,
0000-00-00_כסיפה_ערד_דימונה.GPX,0000-00-00_כסיפה_ערד_דימונה.GPX,False,
0000-00-00_כפר גלעדי_מנרה_מרגליות.GPX,0000-00-00_כפר גלעדי_מנרה_מרגליות.GPX,False,
0000-00-00_כפר נטר_נתניה_געש_יקום_אודים.gpx,0000-00-00_כפר נטר_נתניה_געש_יקום_אודים.gpx,False,
0000-00-00_כפר ראש הנקרה.gpx,0000-00-00_ליידן.gpx,True,
0000-00-00_כפר ראש הנקרה_1.gpx,0000-00-00_וינה_1.gpx,True,
0000-00-00_כפר ראש הנקרה_2.gpx,0000-00-00_בודפשט_2.gpx,True,
0000-00-00_כפר ראש הנקרה_3.gpx,0000-00-00_בודפשט_3.gpx,True,
0000-00-00_כפר ראש הנקרה_חניתה_יערה_לימן.gpx,0000-00-00_כפר ראש הנקרה_חניתה_יערה_לימן.gpx,False,
0000-00-00_כרכום_משמר הירדן_אלמגור.gpx,0000-00-00_כרכום_משמר הירדן_אלמגור.gpx,False,
0000-00-00_לוטן_אליפז.gpx,0000-00-00_לוטן_אליפז.gpx,False,
0000-00-00_לוטן_יהל_נווה חריף.gpx,0000-00-00_לוטן_יהל_נווה חריף.gpx,False,
0000-00-00_לוטן_קטורה.gpx,0000-00-00_לוטן_קטורה.gpx,False,
0000-00-00_מאיר שפיה_ג'סר א-זרקא.gpx,0000-00-00_מאיר שפיה_ג'סר א-זרקא.gpx,False,
0000-00-00_מג'דל שמס_קשת_תל קציר.gpx,0000-00-00_געתון_קשת_תל קציר.gpx,True,
0000-00-00_מירון_קדרים.gpx,0000-00-00_מירון_קדרים.gpx,False,
0000-00-00_מנרה.gpx,0000-00-00_מנרה.gpx,False,
0000-00-00_מעיליא.gpx,0000-00-00_מעיליא.gpx,False,
0000-00-00_מעלות-תרשיחא_אבירים.gpx,0000-00-00_מעלות-תרשיחא_אבירים.gpx,False,
0000-00-00_מצפה רמון_צופר_פארן.GPX,0000-00-00_מצפה רמון_צופר_פארן.GPX,False,
0000-00-00_מרום גולן_אל -רום.gpx,0000-00-00_געתון_אל -רום.gpx,True,
0000-00-00_מרום גולן_עין זיוון.gpx,0000-00-00_מרום גולן_עין זיוון.gpx,False,
0000-00-00_נאות הכיכר_נווה זוהר.gpx,0000-00-00_נאות הכיכר_נווה זוהר.gpx,False,
0000-00-00_נאעורה_דחי_גבע.gpx,0000-00-00_נאעורה_דחי_גבע.gpx,False,
0000-00-00_נווה זוהר.gpx,0000-00-00_נווה זוהר.gpx,False,
0000-00-00_נווה זוהר_1.gpx,0000-00-00_נווה זוהר_1.gpx,False,
0000-00-00_נווה זוהר_נאות הכיכר.gpx,0000-00-00_נווה זוהר_נאות הכיכר.gpx,False,
0000-00-00_נווה זוהר_ערד.gpx,0000-00-00_נווה זוהר_ערד.gpx,False,
0000-00-00_עבדון_אבירים_מנות.gpx,0000-00-00_עבדון_אבירים_מנות.gpx,False,
0000-00-00_עין הוד_גבע כרמל.gpx,0000-00-00_געתון_גבע כרמל.gpx,True,
0000-00-00_עין המפרץ_צביה_מגדל.gpx,0000-00-00_עין המפרץ_צביה_מגדל.gpx,False,
0000-00-00_עין יעקב_גשר הזיו.gpx,0000-00-00_געתון_גשר הזיו.gpx,True,
0000-00-00_עין יעקב_יחיעם.gpx,0000-00-00_עין יעקב_יחיעם.gpx,False,
0000-00-00_עין יעקב_כברי_געתון.GPX,0000-00-00_עין יעקב_כברי_געתון.GPX,False,
0000-00-00_עין יעקב_כברי_געתון_1.gpx,0000-00-00_עין יעקב_כברי_געתון_1.gpx,False,
0000-00-00_עין יעקב_מעונה.gpx,0000-00-00_עין יעקב_מעונה.gpx,False,
0000-00-00_עין יעקב_מעונה_יחיעם.gpx,0000-00-00_עין יעקב_מעונה_יחיעם.gpx,False,
0000-00-00_עין קנייא_שניר.gpx,0000-00-00_עין קנייא_שניר.gpx,False,
0000-00-00_עינת_כרמי יוסף_בית גוברין.GPX,0000-00-00_געתון_כרמי יוסף_בית גוברין.GPX,True,
0000-00-00_ערד.gpx,0000-00-00_ערד.gpx,False,
0000-00-00_ערד_1.gpx,0000-00-00_ערד_1.gpx,False,
0000-00-00_ערד_2.gpx,0000-00-00_ערד_2.gpx,False,
0000-00-00_ערד_נווה זוהר.gpx,0000-00-00_ערד_נווה זוהר.gpx,False,
0000-00-00_ערד_נווה זוהר_1.gpx,0000-00-00_ערד_נווה זוהר_1.gpx,False,
0000-00-00_פארן_יהל_שחרות.GPX,0000-00-00_פארן_יהל_שחרות.GPX,False,
0000-00-00_צבעון_חורפיש.gpx,0000-00-00_צבעון_חורפיש.gpx,False,
0000-00-00_צובה_מטע.gpx,0000-00-00_צובה_מטע.gpx,False,
0000-00-00_צפת_כפר שמאי.gpx,0000-00-00_צפת_כפר שמאי.gpx,False,
0000-00-00_רמות נפתלי_יפתח.gpx,0000-00-00_רמות נפתלי_יפתח.gpx,False,
0000-00-00_שבלי - אום אל-גנם.gpx,0000-00-00_שבלי-אום אל-גנם.gpx,True,
0000-00-00_שדה אליעזר_עלמה.gpx,0000-00-00_שדה אליעזר_עלמה.gpx,False,
0000-00-00_שדה בוקר.gpx,0000-00-00_שדה בוקר.gpx,False,
0000-00-00_שדה בוקר_אשלים.gpx,0000-00-00_שדה בוקר_אשלים.gpx,False,
0000-00-00_שחרות_אליפז_אילת.GPX,0000-00-00_שחרות_אליפז_אילת.GPX,False,
0000-00-00_שייח' דנון_כליל_כסרא-סמיע_יחיעם_עמקה.gpx,0000-00-00_שייח' דנון_כליל_כסרא-סמיע_יחיעם_עמקה.gpx,False,
0000-00-00_שלומי_חניתה_מצובה.gpx,0000-00-00_שלומי_חניתה_מצובה.gpx,False,
0000-00-00_שלומי_יערה_מצובה.gpx,0000-00-00_שלומי_יערה_מצובה.gpx,False,
0000-00-00_תל אביב -יפו_אזור_גבעת כח_עדנים_בני ברק.gpx,0000-00-00_תל אביב-יפו_אזור_גבעת כח_עדנים_בני ברק.gpx,True,
0000-00-00_תל אביב -יפו_בת ים.gpx,0000-00-00_תל אביב-יפו_בת ים.gpx,True,
2013-04-13_געתון_עין יעקב.gpx,2013-04-13_געתון_עין יעקב.gpx,False,
2013-04-18_טבריה_מגדל_כפר חיטים.gpx,2013-04-18_טבריה_מגדל_כפר חיטים.gpx,False,
2013-04-19_בר יוחאי_ברעם.gpx,2013-04-19_בר יוחאי_ברעם.gpx,False,
2013-04-20_טבריה_פורייה עילית_פורייה - נווה עובד.gpx,2013-04-20_טבריה_פורייה עילית_פורייה - נווה עובד.gpx,False,
2013-04-26_געתון_יחיעם.gpx,2013-04-26_געתון_יחיעם.gpx,False,
2013-04-27_כברי_שמרת.gpx,2013-04-27_כברי_שמרת.gpx,False,
2013-05-04_נהרייה_כפר ראש הנקרה_סער.gpx,2013-05-04_נהרייה_כפר ראש הנקרה_סער.gpx,False,
2013-05-11_יחיעם_נווה זיו_עין יעקב.gpx,2013-05-11_געתון_נווה זיו_עין יעקב.gpx,True,
2013-05-14_יחיעם_מעונה_עין יעקב.gpx,2013-05-14_געתון_מעונה_עין יעקב.gpx,True,
2013-05-17_יחיעם_נהרייה.gpx,2013-05-17_געתון_נהרייה.gpx,True,
2013-06-06_געתון_נווה זיו_יחיעם.gpx,2013-06-06_געתון_נווה זיו_יחיעם.gpx,False,
2013-06-08_יחיעם_בוסתן הגליל_שמרת.gpx,2013-06-08_געתון_בוסתן הגליל_שמרת.gpx,True,
2013-06-12_נהרייה_כפר ראש הנקרה_סער.gpx,2013-06-12_נהרייה_כפר ראש הנקרה_סער.gpx,False,
2013-06-14_יחיעם_נהרייה.gpx,2013-06-14_געתון_נהרייה.gpx,True,
2013-06-15_שבי ציון_כפר ראש הנקרה_מזרעה.gpx,2013-06-15_שבי ציון_כפר ראש הנקרה_מזרעה.gpx,False,
2013-06-19_כברי_חניתה_מצובה.gpx,2013-06-19_כברי_חניתה_מצובה.gpx,False,
2013-06-21_יחיעם_כפר ראש הנקרה.gpx,2013-06-21_געתון_כפר ראש הנקרה.gpx,True,
2013-06-25_יחיעם_מעונה_עין יעקב.gpx,2013-06-25_געתון_מעונה_עין יעקב.gpx,True,
2013-06-26_יחיעם_נווה זיו_עין יעקב.gpx,2013-06-26_געתון_נווה זיו_עין יעקב.gpx,True,
2013-06-29_יחיעם_גשר הזיו.gpx,2013-06-29_געתון_גשר הזיו.gpx,True,
2013-07-08_יחיעם_מעונה_געתון.gpx,2013-07-08_געתון_מעונה_געתון.gpx,True,
2013-07-10_יחיעם_מעונה_געתון.gpx,2013-07-10_געתון_מעונה_געתון.gpx,True,
2013-07-12_יחיעם_כפר ראש הנקרה_נהרייה.gpx,2013-07-12_געתון_כפר ראש הנקרה_נהרייה.gpx,True,
2013-07-13_יחיעם_נווה זיו_מעיליא.gpx,2013-07-13_געתון_נווה זיו_מעיליא.gpx,True,
2013-07-15_יחיעם_מנות_שבי ציון.gpx,2013-07-15_געתון_מנות_שבי ציון.gpx,True,
2013-07-19_יחיעם_כברי_געתון.gpx,2013-07-19_געתון_כברי_געתון.gpx,True,
2013-07-20_יחיעם_כברי.gpx,2013-07-20_געתון_כברי.gpx,True,
2013-07-24_יחיעם_מעונה_עין יעקב.gpx,2013-07-24_געתון_מעונה_עין יעקב.gpx,True,
2013-07-25_יחיעם_חניתה_נווה זיו.gpx,2013-07-25_געתון_חניתה_נווה זיו.gpx,True,
2013-07-27_יחיעם_כברי.gpx,2013-07-27_געתון_כברי.gpx,True,
2013-07-30_יחיעם_מעונה_עין יעקב.gpx,2013-07-30_געתון_מעונה_עין יעקב.gpx,True,
2013-08-01_יחיעם_מעונה_געתון.gpx,2013-08-01_געתון_מעונה_געתון.gpx,True,
2013-08-03_געתון_כברי_יחיעם.gpx,2013-08-03_געתון_כברי_יחיעם.gpx,False,
2013-08-05_יחיעם_מעונה_עין יעקב.gpx,2013-08-05_געתון_מעונה_עין יעקב.gpx,True,
2013-08-07_יחיעם_געתון_עין יעקב.gpx,2013-08-07_געתון_געתון_עין יעקב.gpx,True,
2013-08-08_יחיעם_כברי_געתון.gpx,2013-08-08_געתון_כברי_געתון.gpx,True,
2013-08-10_בארי_רעים.gpx,2013-08-10_בארי_רעים.gpx,False,
2013-08-12_כברי_כפר ראש הנקרה_יחיעם.gpx,2013-08-12_כברי_כפר ראש הנקרה_יחיעם.gpx,False,
2013-08-14_געתון_מעונה_יחיעם.gpx,2013-08-14_געתון_מעונה_יחיעם.gpx,False,
2013-08-16_יחיעם_מצובה_כפר ראש הנקרה_נהרייה_נווה זיו.gpx,2013-08-16_געתון_מצובה_כפר ראש הנקרה_נהרייה_נווה זיו.gpx,True,
2013-08-17_נווה זיו_נהרייה_יחיעם.gpx,2013-08-17_נווה זיו_נהרייה_יחיעם.gpx,False,
2013-08-20_געתון_כברי_נווה זיו.gpx,2013-08-20_נווה זיו_כברי_נווה זיו.gpx,True,
2013-08-23_געתון_כברי_יחיעם.gpx,2013-08-23_געתון_כברי_יחיעם.gpx,False,
2013-08-24_געתון_שייח' דנון_שבי ציון_גשר הזיו_יחיעם.gpx,2013-08-24_געתון_שייח' דנון_שבי ציון_גשר הזיו_יחיעם.gpx,False,
2013-08-26_הילה_עין יעקב_מעיליא.gpx,2013-08-26_מצפה הילה_עין יעקב_מעיליא.gpx,True,
2013-08-29_יחיעם_מעונה_עין יעקב.gpx,2013-08-29_געתון_מעונה_עין יעקב.gpx,True,
