שם נוכחי,שם מוצע,השתנה?,"אורך (ק""מ)",מעגלי?
2023-01-27_נווה זוהר_ערד.gpx,2023-01-27_נווה זוהר.gpx,True,18.8,True
2023-01-28_נווה זוהר_ערד.gpx,2023-01-28_נווה זוהר.gpx,True,15.4,True
2023-02-17_געתון_יחיעם_עין יעקב.gpx,2023-02-17_יחיעם_נווה זיו_געתון.gpx,True,14.4,True
2023-02-24_אליפז_סמר.gpx,2023-02-24_אליפז.gpx,True,27.3,True
2023-03-20_נווה זוהר_ערד.gpx,2023-03-20_נווה זוהר.gpx,True,15.2,True
2023-03-21_נווה זוהר_ערד.gpx,2023-03-21_נווה זוהר.gpx,True,18.9,True
2023-03-22_נווה זוהר_ערד.gpx,2023-03-22_נווה זוהר.gpx,True,23.0,True
2023-03-23_נווה זוהר_ערד.gpx,2023-03-23_נווה זוהר.gpx,True,28.9,True
2023-05-17_שושנת העמקים_אביחיל_צוקי ים.gpx,2023-05-17_נתניה_שושנת העמקים.gpx,True,4.2,True
2023-07-06_געתון_עין יעקב_יחיעם.gpx,2023-07-06_יחיעם_עין יעקב.gpx,True,5.4,True
2023-07-09_ברעם_חורפיש_צבעון.gpx,2023-07-09_ברעם_חורפיש.gpx,True,8.0,True
2023-07-22_געתון_עין יעקב_יחיעם.gpx,2023-07-22_געתון_עין יעקב.gpx,True,4.7,True
2023-07-30_מצובה_יערה_שלומי.gpx,2023-07-30_מצובה_יערה.gpx,True,8.7,True
2023-08-04_יגור_כפר חסידים ב'.gpx,2023-08-04_יגור.gpx,True,3.8,True
2023-08-11_יערה_חניתה.gpx,2023-08-11_יערה.gpx,True,5.8,True
2023-08-16_הילה_גורן.gpx,2023-08-16_הילה_גורן.gpx,False,10.2,True
2023-08-18_צורית_גילון_שורשים.gpx,2023-08-18_גילון_צורית.gpx,True,6.9,False
2023-08-25_ברעם_בר יוחאי_מירון.gpx,2023-08-25_ברעם_מירון_בר יוחאי.gpx,True,11.7,True
2023-08-29_עין יעקב_געתון.gpx,2023-08-29_געתון_עין יעקב.gpx,True,9.5,False
2023-09-04_מצובה_יערה_שלומי.gpx,2023-09-04_מצובה_יערה.gpx,True,9.2,True
2023-09-04מצובה .gpx,2023-09-04_מצובה_יערה.gpx,True,8.4,True
2023-09-13_עין יעקב_מעונה_יחיעם.gpx,2023-09-13_יחיעם_מעונה_עין יעקב.gpx,True,15.4,True
2023-09-19_חיפה_טירת כרמל_כפר גלים.gpx,2023-09-19_חיפה.gpx,True,3.3,True
2023-09-23_געתון_עין יעקב_יחיעם.gpx,2023-09-23_יחיעם_עין יעקב.gpx,True,5.2,True
2023-09-25_עין יעקב_געתון.gpx,2023-09-25_יחיעם_געתון_עין יעקב.gpx,True,11.7,True
2023-09-26_חיפה_טירת כרמל_כפר גלים.gpx,2023-09-26_חיפה.gpx,True,3.4,True
2023-10-06_09-59-19_hk_1696565659.gpx,2023-10-06_אלוני הבשן.gpx,True,5.0,True
2023-10-07_14-40-06_hk_1696668906.gpx,2023-10-07_אלוני הבשן.gpx,True,2.8,True
2023-10-14_געתון_עין יעקב_יחיעם.gpx,2023-10-14_געתון_עין יעקב_יחיעם.gpx,False,5.3,False
2023-10-14_געתון_עין יעקב_יחיעם_1.gpx,2023-10-14_יחיעם_עין יעקב.gpx,True,8.5,True
2023-10-21_געתון_עין יעקב.gpx,2023-10-21_יחיעם_נווה זיו_עין יעקב.gpx,True,9.8,True
2023-10-21_געתון_עין יעקב_1.gpx,2023-10-21_יחיעם_נווה זיו_עין יעקב.gpx,True,9.4,True
2023-11-20_געתון_עין יעקב.gpx,2023-11-20_געתון_נווה זיו_יחיעם.gpx,True,11.9,False
2023-11-20_געתון_עין יעקב_יחיעם.gpx,2023-11-20_יחיעם_נווה זיו_עין יעקב.gpx,True,12.3,False
2023-12-19_געתון_עין יעקב_יחיעם_1.gpx,2023-12-19_יחיעם_נווה זיו_געתון.gpx,True,11.8,True
2024-01-25_שדות ים_קיסריה.gpx,2024-01-25_שדות ים_חדרה.gpx,True,18.1,True
2024-02-06_בית זיד_שער העמקים.gpx,2024-02-06_בית זיד_מטולה.gpx,True,130.7,False
2024-02-06_בית זיד_שער העמקים_1.gpx,2024-02-06_שער העמקים_בית זיד.gpx,True,5.3,False
2024-02-09_בית זיד_שער העמקים.gpx,2024-02-09_שער העמקים_בית זיד.gpx,True,3.1,False
2024-02-22_גאולי תימן_מכמורת_כפר ויתקין.gpx,2024-02-22_חדרה_גאולי תימן.gpx,True,7.3,False
2024-02-22_חופית_כפר ויתקין_בית ינאי.gpx,2024-02-22_חופית_חדרה.gpx,True,9.7,False
2024-02-23_געתון_עין יעקב.gpx,2024-02-23_יחיעם_נווה זיו_עין יעקב.gpx,True,12.7,True
2024-02-25_געתון_עין יעקב.gpx,2024-02-25_יחיעם_כברי_עין יעקב.gpx,True,14.9,True
2024-02-26_געתון_עין יעקב.gpx,2024-02-26_יחיעם_כברי_עין יעקב.gpx,True,16.6,True
2024-03-09_געתון_עין יעקב.gpx,2024-03-09_יחיעם_נווה זיו_עין יעקב.gpx,True,13.5,True
2024-03-21_יקום_אודים.gpx,2024-03-21_אודים_יקום.gpx,True,7.8,False
2024-03-23_מטולה_משגב עם.gpx,2024-03-23_מטולה.gpx,True,1.3,True
2024-03-29_געתון_עין יעקב.gpx,2024-03-29_יחיעם_כברי_עין יעקב.gpx,True,15.0,True
2024-03-30_געתון_נווה זיו_עראמשה.gpx,2024-03-30_מטולה.gpx,True,42.5,True
2024-04-02_נווה זוהר_ערד.gpx,2024-04-02_נווה זוהר.gpx,True,10.8,True
2024-04-03_נווה זוהר_ערד.gpx,2024-04-03_נווה זוהר.gpx,True,13.5,True
2024-04-07_געתון_עין יעקב.gpx,2024-04-07_מטולה.gpx,True,3.3,True
2024-04-13_עין יעקב_געתון.gpx,2024-04-13_מטולה.gpx,True,0.8,True
2024-04-18_בני ברק_תל אביב -יפו.gpx,2024-04-18_בני ברק_תל אביב -יפו.gpx,False,11.0,False
2024-05-11_כברי_בן עמי_שייח' דנון.gpx,2024-05-11_מטולה.gpx,True,35.1,True
2024-05-16_עדנים_נווה ירק_גבעת השלושה.gpx,2024-05-16_גבעת השלושה_עדנים.gpx,True,9.2,False
2024-05-20_נווה זוהר_ערד.gpx,2024-05-20_נווה זוהר.gpx,True,14.2,True
2024-05-21_נווה זוהר_ערד.gpx,2024-05-21_נווה זוהר.gpx,True,20.7,True
2024-05-22_נווה זוהר_ערד.gpx,2024-05-22_נווה זוהר.gpx,True,21.2,True
2024-05-24_געתון_מנות_נווה זיו.gpx,2024-05-24_מטולה.gpx,True,10.2,True
2024-05-28_לימן_נהרייה_גשר הזיו.gpx,2024-05-28_מטולה.gpx,True,22.9,True
2024-05-29_נווה זיו_כברי_אדמית.gpx,2024-05-29_מטולה.gpx,True,38.7,True
2024-05-31_מטולה_משגב עם.gpx,2024-05-31_מטולה.gpx,True,0.0,True
2024-06-04_מטולה_משגב עם.gpx,2024-06-04_מטולה.gpx,True,0.1,True
2024-06-04_נהרייה_כברי.gpx,2024-06-04_מטולה.gpx,True,17.2,True
2024-06-06_געתון_עבדון_עין יעקב.gpx,2024-06-06_מטולה.gpx,True,15.3,True
2024-06-11_געתון_אילון_אדמית.gpx,2024-06-11_מטולה.gpx,True,1.8,True
2024-06-13_מנות_אילון.gpx,2024-06-13_מטולה.gpx,True,21.2,True
2024-06-18_געתון_כברי.gpx,2024-06-18_מטולה.gpx,True,1.4,True
2024-06-26_געתון_כברי_גשר הזיו.gpx,2024-06-26_מטולה_נווה זיו_געתון_יחיעם.gpx,True,99.1,False
2024-06-28_מטולה_משגב עם.gpx,2024-06-28_מטולה.gpx,True,3.3,True
2024-07-02_מנות_כברי_סער.gpx,2024-07-02_מטולה.gpx,True,109.5,True
2024-07-05_געתון_יערה_עבדון.gpx,2024-07-05_מטולה.gpx,True,31.5,True
2024-07-06_מעיליא_נווה זיו_הילה.gpx,2024-07-06_מטולה.gpx,True,21.4,True
2024-07-09_כברי_געתון_גשר הזיו.gpx,2024-07-09_יחיעם_גשר הזיו_געתון.gpx,True,30.5,False
2024-07-20_הילה_מעיליא_עין יעקב.gpx,2024-07-20_מטולה.gpx,True,4.9,True
2024-07-22_געתון_יחיעם_כברי.gpx,2024-07-22_מטולה.gpx,True,3.6,True
2024-07-24_געתון_כברי_גשר הזיו.gpx,2024-07-24_מטולה.gpx,True,5.7,True
2024-07-27_מעונה_מעיליא.gpx,2024-07-27_מטולה.gpx,True,0.9,True
2024-07-31_08-58-46_hk_1722409126.gpx,2024-07-31_כפר ראש הנקרה.gpx,True,7.5,True
2024-08-14_כברי_שייח' דנון_נווה זיו.gpx,2024-08-14_מטולה.gpx,True,2.5,True
2024-09-14_1859116312_GPX Download_ Le Petit Balcon Nord - Chamonix-Mont-Blanc - Trail - Loop.gpx,2024-09-14_כפר ראש הנקרה.gpx,True,17.2,True
2024-09-17_כפר גלים_יגור.gpx,2024-09-17_חיפה_כפר גלים.gpx,True,24.8,True
2024-09-19_קיסריה_ג'סר א-זרקא.gpx,2024-09-19_ג'סר א-זרקא_שדות ים_קיסריה.gpx,True,9.4,False
2024-09-25_געתון_גיתה_עין יעקב.gpx,2024-09-25_בית הערבה.gpx,True,11.1,True
2024-10-07_געתון_עין יעקב_יחיעם.gpx,2024-10-07_יחיעם_געתון_עין יעקב.gpx,True,16.4,True
2024-10-19_געתון_עין יעקב_יחיעם.gpx,2024-10-19_יחיעם_עין יעקב.gpx,True,15.1,True
2024-11-07_אבן ספיר_צובה.gpx,2024-11-07_צובה_אורה.gpx,True,8.5,False
2024-11-12_09-29-26_hk_1731400166.gpx,2024-11-12_כפר ראש הנקרה.gpx,True,13.4,True
2024-12-17_כברי_כפר ראש הנקרה_לימן.gpx,2024-12-17_כברי_כפר ראש הנקרה_בן עמי.gpx,True,27.7,True
2024-12-20_כברי_כפר ראש הנקרה_לימן.gpx,2024-12-20_כברי_כפר ראש הנקרה_נהרייה.gpx,True,26.5,True
2024-12-25_כברי_כפר ראש הנקרה_לימן.gpx,2024-12-25_כברי_כפר ראש הנקרה_בן עמי.gpx,True,27.0,True
2025-01-05_געתון_עין יעקב_יחיעם.gpx,2025-01-05_יחיעם_עין יעקב.gpx,True,5.3,True
2025-01-06_געתון_כברי_נהרייה.gpx,2025-01-06_נהרייה_יחיעם.gpx,True,16.1,False
2025-01-09_שניר_שאר ישוב.gpx,2025-01-09_שניר_שאר ישוב.gpx,False,9.4,False
2025-01-18_09-54-14_hk_1737168854.gpx,2025-01-18_אלוני הבשן.gpx,True,5.9,True
2025-01-19_10-00-11_hk_1737255611.gpx,2025-01-19_אלוני הבשן.gpx,True,4.8,True
2025-01-19_17-02-35_hk_1737280955.gpx,2025-01-19_אלוני הבשן.gpx,True,1.2,True
2025-01-19_18-05-16_hk_1737284716.gpx,2025-01-19_אלוני הבשן.gpx,True,2.4,True
2025-01-22_10-43-08_hk_1737517388.gpx,2025-01-22_אלוני הבשן.gpx,True,6.1,True
2025-01-23_10-10-22_hk_1737601822.gpx,2025-01-23_אלוני הבשן.gpx,True,6.9,True
2025-01-24_09-51-16_hk_1737687076.gpx,2025-01-24_אלוני הבשן.gpx,True,7.8,True
2025-01-27_09-14-48_hk_1737944088.gpx,2025-01-27_אלוני הבשן.gpx,True,11.9,True
2025-02-10_נווה זוהר_ערד.gpx,2025-02-10_נווה זוהר.gpx,True,17.7,True
2025-02-11_נווה זוהר_ערד.gpx,2025-02-11_נווה זוהר.gpx,True,13.9,True
2025-02-12_נווה זוהר_ערד.gpx,2025-02-12_נווה זוהר.gpx,True,17.0,True
2025-02-13_נווה זוהר_ערד.gpx,2025-02-13_נווה זוהר.gpx,True,23.8,True
2025-02-22_מבוא חמה_אפיק_נאות גולן.gpx,2025-02-22_אפיק_מבוא חמה.gpx,True,21.8,False
2025-03-02_געתון_עין יעקב_יחיעם.gpx,2025-03-02_יחיעם_כברי_עין יעקב.gpx,True,14.7,True
2025-03-19_16-22-06_hk_1742426526.gpx,2025-03-19_מטולה.gpx,True,6.4,True
2025-04-25_עין הוד_ניר עציון.gpx,2025-04-25_עין הוד.gpx,True,8.5,True
2025-04-26_בית אורן_ניר עציון_יגור.gpx,2025-04-26_בית אורן_יגור.gpx,True,10.1,True
2025-05-03_חרבת חממה שביל הפסגה חניון הפיתול.gpx,2025-05-03_ברעם_מירון.gpx,True,12.4,False
2025-05-15_עין קנייא_נווה אטיב_שניר.gpx,2025-05-15_עין קנייא_שניר.gpx,True,5.5,False
2025-05-24_עין הוד_ניר עציון_בית אורן.gpx,2025-05-24_בית אורן_עין הוד.gpx,True,5.4,False
2025-07-03_שדה נחמיה_עמיר.gpx,2025-07-03_שאר ישוב_שדה נחמיה.gpx,True,7.2,False
2025-07-26_הילה_גורן.gpx,2025-07-26_הילה_גורן.gpx,False,7.2,False
2025-08-28_געתון_כברי_לימן.gpx,2025-08-28_יחיעם_כפר ראש הנקרה.gpx,True,21.1,False
2025-09-01_10-50-53_hk_1756716653.gpx,2025-09-01_כפר ראש הנקרה.gpx,True,7.4,True
2025-09-02_10-48-52_hk_1756802932.gpx,2025-09-02_כפר ראש הנקרה.gpx,True,15.6,True
2025-09-08_געתון_יחיעם_כברי.gpx,2025-09-08_יחיעם_כברי_געתון.gpx,True,13.1,True
2025-09-10_געתון_יחיעם_כברי.gpx,2025-09-10_יחיעם_כברי_געתון.gpx,True,12.9,True
2025-09-14_יחיעם_עין יעקב.gpx,2025-09-14_יחיעם_עין יעקב.gpx,False,7.6,True
2025-09-20_געתון_יחיעם_עין יעקב.gpx,2025-09-20_יחיעם_כברי_געתון.gpx,True,13.0,True
2025-09-22_שבי ציון_כברי_נהרייה.gpx,2025-09-22_יחיעם_שבי ציון_מזרעה.gpx,True,24.8,False
2025-09-23_געתון_כברי_לימן.gpx,2025-09-23_יחיעם_כפר ראש הנקרה_כברי.gpx,True,34.7,False
2025-09-30_גונן_יפתח.gpx,2025-09-30_יפתח_גונן_רמות נפתלי.gpx,True,35.3,True
2025-10-01_שבי ציון_כברי_נהרייה.gpx,2025-10-01_יחיעם_שבי ציון_מזרעה.gpx,True,29.5,False
2025-10-02_געתון_כברי_גשר הזיו.gpx,2025-10-02_געתון_גשר הזיו_יחיעם.gpx,True,29.8,False
2025-10-07_אבירים_מעיליא.gpx,2025-10-07_אבירים.gpx,True,4.6,True
2025-10-11_געתון_יחיעם_כברי.gpx,2025-10-11_יחיעם_כברי_געתון.gpx,True,13.0,True
2025-10-16_געתון_יחיעם.gpx,2025-10-16_יחיעם_כליל_געתון.gpx,True,9.9,True
2025-10-17_הקלטה חניון הפיתול שמורת נחל עמוד.gpx,2025-10-17_מירון_כפר שמאי.gpx,True,7.8,False
2025-10-20_נווה זוהר_ערד.gpx,2025-10-20_נווה זוהר.gpx,True,16.1,True
2025-10-25 עין הוד מצפה עופר.gpx,2025-10-25_עין הוד_גבע כרמל.gpx,True,8.4,False
2025-10-31_כפר ראש הנקרה_לימן.gpx,2025-10-31_כפר ראש הנקרה_גשר הזיו.gpx,True,9.8,False
2025-11-06_ברעם_חורפיש_בר יוחאי.gpx,2025-11-06_בר יוחאי_חורפיש.gpx,True,9.4,False
2025-11-15_געתון_יחיעם.gpx,2025-11-15_יחיעם_כליל_געתון.gpx,True,9.5,True
2025-12-25_מירון_בר יוחאי.gpx,2025-12-25_בר יוחאי_מירון.gpx,True,9.9,False
2026-01-03_ג'סר א-זרקא_בית חנניה.gpx,2026-01-03_בית חנניה_שדות ים.gpx,True,8.3,False
2026-01-10_כברי_לימן_גשר הזיו.gpx,2026-01-10_כברי_כפר ראש הנקרה_בן עמי.gpx,True,27.5,True
2026-01-14_שבי ציון_מזרעה_נהרייה.gpx,2026-01-14_שבי ציון_נהרייה_מזרעה.gpx,True,10.2,False
2026-01-15_שבי ציון_נהרייה.gpx,2026-01-15_שבי ציון_נהרייה_מזרעה.gpx,True,10.4,False
2026-01-16_שבי ציון_נהרייה.gpx,2026-01-16_שבי ציון_נהרייה_מזרעה.gpx,True,8.1,True
2026-01-23_עין יעקב_געתון.gpx,2026-01-23_יחיעם_געתון.gpx,True,9.2,True
2026-01-28_עין זיוון_מרום גולן.gpx,2026-01-28_מרום גולן_עין זיוון.gpx,True,11.3,False
2026-01-30_כברי_לימן_גשר הזיו.gpx,2026-01-30_כברי_כפר ראש הנקרה_בן עמי.gpx,True,26.5,True
2026-01-31_ברעם_מירון.gpx,2026-01-31_ברעם_מירון.gpx,False,11.9,False
2026-02-05_מצובה_יערה_שלומי.gpx,2026-02-05_מצובה_יערה.gpx,True,11.0,True
2026-02-07_מעיליא_מנות_הילה.gpx,2026-02-07_יחיעם_כברי_גשר הזיו_הילה_געתון.gpx,True,42.9,True
2026-02-13_עין יעקב_געתון.gpx,2026-02-13_יחיעם_געתון.gpx,True,9.3,True
2026-02-21_געתון_נווה זיו_כברי.gpx,2026-02-21_יחיעם_כברי_געתון.gpx,True,22.3,False
2026-02-24_עין יעקב_מעונה_געתון.gpx,2026-02-24_יחיעם_מעונה_געתון.gpx,True,19.3,True
2026-02-25_שבי ציון_נהרייה_כברי.gpx,2026-02-25_יחיעם_נהרייה_בוסתן הגליל_נהרייה_געתון.gpx,True,44.5,True
2026-02-26_בארי_רעים_שוקדה.gpx,2026-02-26_בארי.gpx,True,8.7,True
2026-02-27_כברי_גשר הזיו_לימן.gpx,2026-02-27_כברי_כפר ראש הנקרה_בן עמי.gpx,True,26.5,True
2026-02-28_געתון_כברי.gpx,2026-02-28_יחיעם_כברי_געתון.gpx,True,24.6,True
2026-03-05_געתון_כברי.gpx,2026-03-05_געתון_כברי_יחיעם.gpx,True,17.3,False
2026-03-06_עין יעקב_געתון_כברי.gpx,2026-03-06_יחיעם_כברי_געתון.gpx,True,20.6,True
2026-03-13_געתון_עין יעקב.gpx,2026-03-13_יחיעם_געתון.gpx,True,9.5,False
2026-03-13_עין יעקב_געתון.gpx,,,,פחות מ-2 נקודות
2026-03-16_עבדון_מנות_מעיליא.gpx,2026-03-16_יחיעם_נווה זיו_כברי_עבדון_געתון.gpx,True,52.6,True
2026-03-18_געתון_כברי_גשר הזיו.gpx,2026-03-18_יחיעם_נהרייה_געתון.gpx,True,31.6,True
2026-03-23_געתון_מעיליא_מעונה.gpx,2026-03-23_יחיעם_אבירים_געתון.gpx,True,29.8,True
2026-03-25_געתון_גשר הזיו_כברי.gpx,2026-03-25_יחיעם_גשר הזיו_געתון.gpx,True,31.6,True
2026-03-26_מנות_מעיליא_הילה.gpx,2026-03-26_יחיעם_כברי_געתון.gpx,True,29.6,True
2026-04-09_געתון_כברי_גשר הזיו.gpx,2026-04-09_יחיעם_לימן_געתון.gpx,True,37.1,True
2026-04-11_יחיעם_געתון_כברי.gpx,2026-04-11_יחיעם_כברי_געתון.gpx,True,23.7,True
2026-04-15_געתון_כברי_נהרייה.gpx,2026-04-15_כברי_יחיעם.gpx,True,16.6,False
2026-04-16_עין יעקב_מעונה_געתון.gpx,2026-04-16_יחיעם_כברי_געתון.gpx,True,34.9,True
2026-04-20_כברי_געתון_גשר הזיו.gpx,2026-04-20_יחיעם_נהרייה_כפר ראש הנקרה_כברי_געתון.gpx,True,41.6,True
2026-04-24_מנות_מעונה_געתון.gpx,2026-04-24_יחיעם_נהרייה_כפר ראש הנקרה_מנות_געתון.gpx,True,49.5,False
2026-04-27_נטור_נוב_חספין.gpx,2026-04-27_נטור_נוב_אלי-עד_נוב.gpx,True,41.5,True
2026-05-01_עין יעקב_געתון_כברי.gpx,2026-05-01_יחיעם_כברי_געתון.gpx,True,29.5,True
2026-05-02_כברי_שבי ציון_שייח' דנון.gpx,2026-05-02_כברי_גשר הזיו_שבי ציון_נתיב השיירה_שייח' דנון.gpx,True,51.6,True
2026-05-07_געתון_כברי_לימן.gpx,2026-05-07_יחיעם_כפר ראש הנקרה_געתון.gpx,True,40.0,True
2026-05-08_יחיעם_נווה זיו_עין יעקב.gpx,2026-05-08_יחיעם_כליל_כברי_יחיעם_הילה.gpx,True,45.2,False
2026-05-09_מצובה_כברי.gpx,2026-05-09_כברי_יערה_מצובה.gpx,True,17.9,True
2026-05-13_עבדון_כברי_גורן.gpx,2026-05-13_יחיעם_כברי_עבדון.gpx,True,28.3,False
2026-05-14_נוב_חספין_אבני איתן.gpx,2026-05-14_אלי-עד_מיצר.gpx,True,37.0,False
2026-05-16_מצפה נטופה_הילה_מעיליא.gpx,2026-05-16_הילה.gpx,True,0.2,True
2026-05-19_שבי ציון_כברי_שייח' דנון.gpx,2026-05-19_כברי_גשר הזיו_שבי ציון_שייח' דנון.gpx,True,40.0,True
2026-05-22_גילון_צורית_טל-אל.gpx,2026-05-22_טל-אל_צורית_יסעור.gpx,True,31.2,True
2026-05-23_עין יעקב_נווה זיו_מעונה.gpx,2026-05-23_יחיעם_נווה זיו_כברי_מעונה_געתון.gpx,True,43.0,True
2026-05-27_געתון_עין יעקב.gpx,2026-05-27_געתון_עין יעקב.gpx,False,6.2,False
2026-05-27_עין יעקב_געתון.gpx,2026-05-27_יחיעם_געתון.gpx,True,9.6,True
2026-05-30_געתון_עין יעקב_מעיליא.gpx,2026-05-30_יחיעם_מעיליא_געתון.gpx,True,21.5,True
2026-05-30_עין יעקב_מעונה_מעיליא.gpx,2026-05-30_מעונה_געתון_יחיעם.gpx,True,6.5,False
2026-05-31_עין יעקב_יחיעם_געתון.gpx,2026-05-31_יחיעם_לפידות_געתון.gpx,True,25.8,True
2026-06-01_געתון_מעונה_מעיליא.gpx,2026-06-01_יחיעם_מעונה_געתון.gpx,True,27.4,False
2026-06-02 שבי-ציון_עכו_קרית-אתא_חזרה.gpx,2026-06-02_שבי ציון_כפר מסריק_רמת יוחנן_כפר מסריק_בוסתן הגליל.gpx,True,58.7,True
2026-06-02_עין המפרץ_שבי ציון_בוסתן הגליל.gpx,2026-06-02_שבי ציון_כפר מסריק_יפיע.gpx,True,65.6,False
2026-06-06 געתון_רגבה_עכו.gpx,2026-06-06_עכו_יחיעם.gpx,True,25.8,False
2026-06-06_געתון_בוסתן הגליל_נתיב השיירה.gpx,2026-06-06_עכו_יחיעם.gpx,True,23.4,False
2026-06-09_עבדון_גורנות הגליל_כברי.gpx,2026-06-09_כברי_עבדון_גורנות הגליל_אילון_מצובה.gpx,True,44.4,True
2026-06-11 הר-חרמון_גבעות-קרב_הליכה.gpx,2026-06-11_מג'דל שמס.gpx,True,10.4,True
2026-06-11_נחל נמרוד_מג'דל שמס_נווה אטיב.gpx,2026-06-11_מג'דל שמס_מסעדה.gpx,True,23.7,False
2026-06-13 כברי_גורן-הקטן_נוף-חניתה_כברי.gpx,2026-06-13_כברי_גורן_מצובה.gpx,True,35.8,True
2026-06-13_כברי_גורן_חניתה.gpx,2026-06-13_כברי_הילה_חניתה.gpx,True,32.8,False
2026-06-20  כברי ערמשאה שתולה גורן .gpx,2026-06-20_כברי_אדמית_שתולה_גורן_מצובה.gpx,True,61.8,True
2026-06-20_שומרה_גורנות הגליל_כברי.gpx,2026-06-20_כברי_אדמית_שתולה_גורנות הגליל_מצובה.gpx,True,66.7,True
2026-06-24 געתון_נהריה_ראש-הנקרה_נהריה_געתון.gpx,2026-06-24_יחיעם_סער_כפר ראש הנקרה_בן עמי_געתון.gpx,True,45.7,True
2026-06-24_כברי_געתון_לימן.gpx,2026-06-24_כפר ראש הנקרה_יחיעם.gpx,True,22.9,False
2026-06-30 כברי_עבדון_יערב_נוף-חניתה_לימן_נהריה_כברי.gpx,2026-06-30_כברי_חניתה_בן עמי.gpx,True,37.2,True
2026-07-01 סינגל_יחיעם_עליון.gpx,2026-07-01_יחיעם_כליל_עין יעקב.gpx,True,16.1,True
2026-07-03 סינגל חניתה.gpx,2026-07-03_שלומי_יערה_חניתה.gpx,True,23.3,True
2026-07-03_שלומי_מצובה_בצת.gpx,2026-07-03_שלומי.gpx,True,0.8,True
2026-07-04 געתון_חרדלית_מנות_הילה_עין_זיו_חרדלית_געתון.gpx,2026-07-04_יחיעם_הילה_כברי_נווה זיו_געתון.gpx,True,49.9,True
2026-07-04_מעיליא_מנות_הילה.gpx,2026-07-04_יחיעם_הילה_כברי_געתון.gpx,True,50.4,True
2026-07-07_עבדון_געתון_יערה.gpx,2026-07-07_יחיעם_עבדון_כפר ראש הנקרה_בן עמי_געתון.gpx,True,54.0,True
2026-07-07_שבי ציון_כברי_שייח' דנון.gpx,2026-07-07_כברי_שבי ציון_שייח' דנון.gpx,True,32.9,True
2026-07-10_לימן_כפר ראש הנקרה.gpx,2026-07-10_לימן_כפר ראש הנקרה.gpx,False,3.6,False
2026-07-10_מצובה_כפר ראש הנקרה_חניתה.gpx,2026-07-10_כפר ראש הנקרה_יערה_מצובה.gpx,True,24.3,False
2026-07-14_שבי ציון_געתון_נהרייה.gpx,2026-07-14_נהרייה_יחיעם.gpx,True,22.2,False
2026-07-14_שבי ציון_כברי_נהרייה.gpx,2026-07-14_יחיעם_שבי ציון.gpx,True,25.1,False
2026-07-18_שבי ציון_געתון_כברי.gpx,2026-07-18_יחיעם_גשר הזיו_שבי ציון_שייח' דנון_געתון.gpx,True,43.9,True
2026-07-19_עין יעקב_מנות_עבדון.gpx,2026-07-19_יחיעם_מצובה_חניתה_מנות_געתון.gpx,True,47.1,True
2026-07-21_שבי ציון_כברי_נהרייה.gpx,2026-07-21_כברי_כפר ראש הנקרה_שייח' דנון.gpx,True,36.8,True
2026-07-24_עין יעקב_נווה זיו_געתון.gpx,2026-07-24_יחיעם_כברי_נווה זיו.gpx,True,26.9,False
2026-07-28_17-28-32_fi_78CD4066-894B-499A-BE24-467EDEA28534.gpx,2026-07-28_שבי ציון_עין המפרץ_אפק_עין המפרץ_בוסתן הגליל.gpx,True,47.3,True
2026-07-30_06-19-24_fi_EF2EA3AB-B22D-4FEF-A61B-A6DEA644C568.gpx,2026-07-30_יחיעם_מעונה_געתון.gpx,True,28.8,True
2026-07-30_עין יעקב_יחיעם_געתון.gpx,2026-07-30_יחיעם_עין יעקב.gpx,True,2.8,False
2026-08-01_הילה_מנות_מעיליא.gpx,2026-08-01_הילה_עבדון_מעיליא.gpx,True,24.2,True
2026-08-08_מנות_כברי_הילה.gpx,2026-08-08_יחיעם_בן עמי_כפר ראש הנקרה_מנות_געתון.gpx,True,52.1,True
2026-08-09_יחיעם_עין יעקב.gpx,2026-08-09_יחיעם_כליל.gpx,True,7.0,False
2026-08-11_גורן גדול.gpx,2026-08-11_כברי_גורנות הגליל_מצובה.gpx,True,33.6,True
2026-08-13_יחיעם_געתון_עין יעקב.gpx,2026-08-13_יחיעם_כליל_עין יעקב.gpx,True,16.9,True
2026-08-14_בצת_לימן_שלומי.gpx,2026-08-14_בצת_כברי.gpx,True,6.2,False
2026-08-15_עין יעקב_הילה_געתון.gpx,2026-08-15_יחיעם_מעונה_עין יעקב.gpx,True,29.3,True
20260422  פרק גורן סינגל מצובה עבדון פארק גורן.gpx,2026-04-22_עבדון_גורן_מצובה.gpx,True,27.7,True
aradnz.gpx,0000-00-00_ערד_נווה זוהר.gpx,True,30.5,False
Danube_Cycle_Path_-_The_Black_Forest_to_the_Black_Sea.gpx,0000-00-00_כפר ראש הנקרה_מטולה.gpx,True,3070.8,False
Gaaton shomrat.gpx,0000-00-00_געתון_שמרת.gpx,True,21.4,False
hila kziv.gpx,0000-00-00_הילה_עבדון.gpx,True,9.8,False
Israel National Trail-24-05-26.gpx,0000-00-00_אילת_אחוזם_מג'דל שמס_זכרון יעקב.gpx,True,1188.4,False
kabri (1).gpx,0000-00-00_כברי_נווה זיו.gpx,True,16.1,True
Leiden_bikeTour_444.gpx,0000-00-00_כפר ראש הנקרה.gpx,True,64.6,True
