שם נוכחי,שם מוצע,השתנה?,"אורך (ק""מ)",מעגלי?
2013-09-07_געתון_מעונה_גשר הזיו.gpx,2013-09-07_יחיעם_געתון_שבי ציון_מזרעה.gpx,True,45.3,False
2013-09-10_בוסתן הגליל_שבי ציון_נהרייה.gpx,2013-09-10_נהרייה_עכו_מזרעה.gpx,True,27.9,True
2013-09-12_עין יעקב_מעיליא_מעונה.gpx,2013-09-12_יחיעם_מעיליא_געתון.gpx,True,16.2,True
2013-09-13_עין יעקב_מעיליא_מנות.gpx,2013-09-13_געתון_כברי_יחיעם.gpx,True,28.3,False
2013-09-14_עין המפרץ_געתון_מזרעה.gpx,2013-09-14_יחיעם_מזרעה_קריית ים_בוסתן הגליל_נווה זיו.gpx,True,62.1,False
2013-09-18_געתון_מעיליא_מנות.gpx,2013-09-18_יחיעם_אבירים_נהרייה.gpx,True,48.5,False
2013-09-19_עין יעקב_מעיליא_געתון.gpx,2013-09-19_יחיעם_מעיליא_געתון.gpx,True,15.5,True
2013-09-20_עבדון_יערה_אילון.gpx,2013-09-20_כברי_גורן_מצובה.gpx,True,28.9,True
2013-09-21_כברי_נהרייה_געתון.gpx,2013-09-21_געתון_כברי_כפר ראש הנקרה_מזרעה_יחיעם.gpx,True,53.9,True
2013-09-23_עין יעקב_מעונה_מעיליא.gpx,2013-09-23_געתון_מעונה_יחיעם.gpx,True,27.9,False
2013-09-25_געתון_עין יעקב_מעיליא.gpx,2013-09-25_יחיעם_מעיליא_געתון.gpx,True,24.8,True
2013-09-26_געתון_כפר ורדים_מנות.gpx,2013-09-26_עין יעקב_כברי_יחיעם.gpx,True,32.6,False
2013-09-27_טל-אל_אחיהוד_גילון.gpx,2013-09-27_גילון_טל-אל_פלך.gpx,True,17.0,True
2013-09-28_עין יעקב_מזרעה_שבי ציון.gpx,2013-09-28_געתון_נתיב השיירה_שבי ציון_נווה זיו_יחיעם.gpx,True,48.3,False
2013-10-01_געתון_עין יעקב.gpx,2013-10-01_יחיעם_נווה זיו_געתון.gpx,True,18.7,True
2013-10-02_געתון_עין יעקב_מעיליא.gpx,2013-10-02_געתון_מעיליא_יחיעם.gpx,True,21.3,False
2013-10-04_גדות_חד-נס_גונן.gpx,2013-10-04_חד-נס_גונן_כפר גלעדי.gpx,True,51.4,False
2013-10-06_מעונה_עין יעקב_געתון.gpx,2013-10-06_געתון_מעונה_יחיעם.gpx,True,22.0,False
2013-10-06_עין יעקב_געתון.gpx,2013-10-06_יחיעם_עין יעקב_געתון.gpx,True,9.4,True
2013-10-09_עין יעקב_געתון.gpx,2013-10-09_יחיעם_געתון.gpx,True,14.9,True
2013-10-11_כברי_נהרייה_שלומי.gpx,2013-10-11_יחיעם_כפר ראש הנקרה_נהרייה.gpx,True,32.4,False
2013-10-12_מזרעה_כפר ורדים_מנות.gpx,2013-10-12_געתון_הילה_כפר ראש הנקרה_מזרעה_שמרת.gpx,True,63.9,False
2015-07-06_געתון_עין יעקב_יחיעם.gpx,2015-07-06_געתון_יחיעם.gpx,True,14.0,False
2015-12-03_מנות_מעונה_הילה.gpx,2015-12-03_געתון_מעונה_יחיעם.gpx,True,27.9,False
2015-12-04_כפר ביאליק_קריית ביאליק_כפר חסידים ב'.gpx,2015-12-04_כפר מסריק_הרדוף_כפר יהושע_קריית אתא_עין המפרץ.gpx,True,75.0,False
2016_0909_GvaotTivonNachalKisson.gpx,2016-09-09_אלונים_שער העמקים_רמת ישי.gpx,True,31.2,True
2017_0620_Yarkon_TA_RG.gpx,2017-06-20_תל אביב -יפו_בני ברק.gpx,True,16.5,True
2019-04-12-01_TIMNA1.gpx,2019-04-12_אליפז.gpx,True,34.2,True
2021-07-26_געתון_יחיעם.gpx,2021-07-26_יחיעם_געתון.gpx,True,5.1,True
2021-07-29_געתון_יחיעם.gpx,2021-07-29_יחיעם_געתון.gpx,True,5.2,True
2021-08-01_געתון_יחיעם.gpx,2021-08-01_יחיעם_געתון.gpx,True,5.2,True
2021-08-03_געתון_יחיעם.gpx,2021-08-03_יחיעם_געתון.gpx,True,5.2,True
2021-08-04_געתון_יחיעם.gpx,2021-08-04_יחיעם_געתון.gpx,True,5.5,True
2021-08-06_געתון_יחיעם.gpx,2021-08-06_יחיעם_געתון.gpx,True,6.3,True
2021-09-05_געתון_יחיעם.gpx,2021-09-05_יחיעם_כליל_געתון.gpx,True,10.6,True
2021-09-07_געתון_יחיעם.gpx,2021-09-07_יחיעם_געתון.gpx,True,7.7,True
2021-09-08_געתון_יחיעם.gpx,2021-09-08_יחיעם_נווה זיו_געתון.gpx,True,9.0,True
2021-09-09_געתון_יחיעם.gpx,2021-09-09_יחיעם_געתון.gpx,True,7.0,True
2021-09-10_געתון_יחיעם.gpx,2021-09-10_יחיעם_כליל_געתון.gpx,True,10.4,True
2021-09-12_געתון_יחיעם.gpx,2021-09-12_יחיעם_נווה זיו_געתון.gpx,True,9.1,True
2021-09-14_געתון_יחיעם.gpx,2021-09-14_יחיעם_נווה זיו_געתון.gpx,True,9.0,True
2021-09-16_געתון_יחיעם.gpx,2021-09-16_יחיעם_נווה זיו_געתון.gpx,True,11.7,True
2021-09-17_געתון_יחיעם.gpx,2021-09-17_יחיעם_כליל_געתון.gpx,True,10.4,True
2021-09-24_געתון_יחיעם.gpx,2021-09-24_יחיעם_כליל_געתון.gpx,True,11.6,True
2021-09-26_געתון_יחיעם.gpx,2021-09-26_יחיעם_נווה זיו_געתון.gpx,True,10.7,True
2021-10-03_געתון_יחיעם.gpx,2021-10-03_יחיעם_געתון.gpx,True,8.5,True
2021-10-06_געתון_יחיעם.gpx,2021-10-06_יחיעם_געתון.gpx,True,8.2,True
2021-10-15_10-52-52_hk_1634320372.gpx,2021-10-15_מטולה.gpx,True,4.8,True
2021-10-30_געתון_יחיעם.gpx,2021-10-30_יחיעם_כליל_געתון.gpx,True,11.7,True
2021-11-01_געתון_יחיעם.gpx,2021-11-01_יחיעם_כליל_געתון.gpx,True,11.3,True
