שם מקורי,שם חדש,סטטוס,הערה
0000-00-00_כברי_יערה_כפר רוזנואלד (זרעית)_אילון_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_כברי_נווה זיו.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_כברי_נווה זיו_1.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_כברי_שבי ציון_שייח' דנון.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_כליל_כליל.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_כסיפה_ערד_דימונה.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_כפר גלעדי_מנרה_מרגליות.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_כפר נטר_נתניה_געש_יקום_אודים.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_כפר ראש הנקרה_חניתה_יערה_לימן.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_כרכום_משמר הירדן_אלמגור.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_לוטן_אליפז.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_לוטן_יהל_נווה חריף.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_לוטן_קטורה.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_ליידן.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מאיר שפיה_ג'סר א-זרקא.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מירון_קדרים.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מנרה.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מעיליא.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מעלות-תרשיחא_אבירים.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מצפה הילה_גורן.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מצפה הילה_גורן_1.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מצפה הילה_כברי_יסעור_לבון_מעיליא.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מצפה הילה_עבדון.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מצפה הילה_עבדון_1.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מצפה הילה_עבדון_2.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מצפה רמון_צופר_פארן.GPX,,לא שונה - כבר יש שם משמעותי,
0000-00-00_מרום גולן_עין זיוון.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_נאות הכיכר_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_נאעורה_דחי_גבע.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_נווה זוהר_1.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_נווה זוהר_נאות הכיכר.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_נווה זוהר_ערד.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_עבדון_אבירים_מנות.gpx,,לא שונה - כבר יש שם משמעותי,
0000-00-00_עין המפרץ_צביה_מגדל.gpx,,לא שונה - כבר יש שם משמעותי,
