שם מקורי,שם חדש,סטטוס,הערה
2022-05-15_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-05-18_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-05-19_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-05-25_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-05-26_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-05-31_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-01_לוטן_גרופית_קטורה.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-02_לוטן_יטבתה_אליפז_יטבתה_קטורה.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-03_אליפז.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-04_געתון_נהרייה_כפר ראש הנקרה_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-06_קשת_אלוני הבשן.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-11_געתון_כברי_כפר ראש הנקרה_עבדון_מעונה.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-12_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-15_געתון_כברי_כפר ראש הנקרה_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-18_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-19_געתון_כברי_כפר ראש הנקרה_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-24_געתון_כברי_כפר ראש הנקרה_עבדון_מעונה.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-27_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-28_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-29_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2022-06-30_ערד.gpx,,לא שונה - כבר יש שם משמעותי,
2022-07-02_געתון_שייח' דנון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-07-03_כפר מסריק_עין המפרץ.gpx,,לא שונה - כבר יש שם משמעותי,
2022-07-07_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-07-08_געתון_גשר הזיו_מעונה.gpx,,לא שונה - כבר יש שם משמעותי,
2022-07-11_געתון_כברי_כפר ראש הנקרה_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-07-15_געתון_כברי_כפר ראש הנקרה_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-07-18_כברי_כפר ראש הנקרה_בן עמי.gpx,,לא שונה - כבר יש שם משמעותי,
2022-07-19_געתון_כפר ראש הנקרה_נווה זיו.gpx,,לא שונה - כבר יש שם משמעותי,
2022-07-22_גורנות הגליל_אדמית_אילון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-07-23_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-07-31_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-08-02_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-08-09_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-08-19_געתון_כברי_כפר ראש הנקרה_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-08-21_געתון_נווה זיו_כליל.gpx,,לא שונה - כבר יש שם משמעותי,
2022-10-03_געתון_עין יעקב_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-10-15_געתון_עין יעקב_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-10-21_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-10-23_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-10-24_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-10-26_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-10-27_כפר מסריק_יסעור_עין המפרץ.gpx,,לא שונה - כבר יש שם משמעותי,
2022-11-09_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-11-11_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-11-17_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-11-18_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-11-19_געתון_מעיליא_מעונה.gpx,,לא שונה - כבר יש שם משמעותי,
2022-11-23_מצובה_יערה.gpx,,לא שונה - כבר יש שם משמעותי,
2022-11-30_כברי_כפר ראש הנקרה_סער.gpx,,לא שונה - כבר יש שם משמעותי,
2022-12-05_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2022-12-06_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2022-12-07_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2022-12-08_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2022-12-12_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-12-16_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-12-17_געתון_כברי_מעונה.gpx,,לא שונה - כבר יש שם משמעותי,
2022-12-21_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2022-12-28_געתון_כברי_כפר ראש הנקרה_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2023-01-09_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2023-01-11_מצובה_יערה.gpx,,לא שונה - כבר יש שם משמעותי,
2023-01-18_געתון_גשר הזיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2023-01-25_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2023-01-26_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2023-01-27_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2023-01-28_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2023-02-17_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2023-03-20_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2023-03-21_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2023-03-22_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2023-03-23_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2023-05-17_נתניה_שושנת העמקים.gpx,,לא שונה - כבר יש שם משמעותי,
2023-07-06_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2023-07-09_חורפיש_חורפיש.gpx,,לא שונה - כבר יש שם משמעותי,
2023-07-22_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2023-07-30_מצובה_יערה.gpx,,לא שונה - כבר יש שם משמעותי,
2023-08-04_יגור.gpx,,לא שונה - כבר יש שם משמעותי,
2023-08-11_יערה.gpx,,לא שונה - כבר יש שם משמעותי,
2023-08-16_מצפה הילה_גורן.gpx,,לא שונה - כבר יש שם משמעותי,
2023-08-18_גילון_צורית.gpx,,לא שונה - כבר יש שם משמעותי,
2023-08-25_חורפיש_מירון_בר יוחאי.gpx,,לא שונה - כבר יש שם משמעותי,
2023-08-29_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2023-09-04_מצובה_יערה.gpx,,לא שונה - כבר יש שם משמעותי,
2023-09-04_מצובה_יערה_1.gpx,,לא שונה - כבר יש שם משמעותי,
2023-09-10_חיפה.gpx,,לא שונה - כבר יש שם משמעותי,
2023-09-13_געתון_מעונה_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2023-09-19_חיפה.gpx,,לא שונה - כבר יש שם משמעותי,
2023-09-23_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2023-09-25_געתון_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2023-09-26_חיפה.gpx,,לא שונה - כבר יש שם משמעותי,
2023-10-06_פוקהרה.gpx,,לא שונה - כבר יש שם משמעותי,
2023-10-07_פוקהרה.gpx,,לא שונה - כבר יש שם משמעותי,
2023-10-14_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2023-10-14_געתון_עין יעקב_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2023-10-21_געתון_נווה זיו_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2023-10-21_געתון_נווה זיו_עין יעקב_1.gpx,,לא שונה - כבר יש שם משמעותי,
2023-11-20_געתון_נווה זיו_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2023-11-20_געתון_נווה זיו_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2023-12-19_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2024-01-25_שדות ים_חדרה.gpx,,לא שונה - כבר יש שם משמעותי,
2024-02-06_שער העמקים_בית זיד.gpx,,לא שונה - כבר יש שם משמעותי,
2024-02-09_שער העמקים_בית זיד.gpx,,לא שונה - כבר יש שם משמעותי,
2024-02-22_חדרה_גאולי תימן.gpx,,לא שונה - כבר יש שם משמעותי,
2024-02-22_חופית_חדרה.gpx,,לא שונה - כבר יש שם משמעותי,
2024-02-23_געתון_נווה זיו_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2024-02-25_געתון_כברי_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2024-02-26_געתון_כברי_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2024-03-09_געתון_נווה זיו_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2024-03-21_אודים_יקום.gpx,,לא שונה - כבר יש שם משמעותי,
2024-03-29_געתון_כברי_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2024-04-02_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2024-04-03_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2024-04-18_בני ברק_תל אביב -יפו.gpx,,לא שונה - כבר יש שם משמעותי,
2024-05-16_גבעת השלושה_עדנים.gpx,,לא שונה - כבר יש שם משמעותי,
2024-05-20_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2024-05-21_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2024-05-22_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2024-07-09_געתון_גשר הזיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2024-07-31_ליידן.gpx,,לא שונה - כבר יש שם משמעותי,
2024-09-14_שאמוני.gpx,,לא שונה - כבר יש שם משמעותי,
2024-09-17_חיפה_כפר גלים.gpx,,לא שונה - כבר יש שם משמעותי,
2024-09-19_ג'סר א-זרקא_שדות ים_קיסריה.gpx,,לא שונה - כבר יש שם משמעותי,
2024-10-07_געתון_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2024-10-19_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2024-11-07_צובה_אורה.gpx,,לא שונה - כבר יש שם משמעותי,
2024-11-12_בודפשט.gpx,,לא שונה - כבר יש שם משמעותי,
2024-12-17_כברי_כפר ראש הנקרה_בן עמי.gpx,,לא שונה - כבר יש שם משמעותי,
2024-12-20_כברי_כפר ראש הנקרה_נהרייה.gpx,,לא שונה - כבר יש שם משמעותי,
2024-12-25_כברי_כפר ראש הנקרה_בן עמי.gpx,,לא שונה - כבר יש שם משמעותי,
2025-01-05_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2025-01-06_נהרייה_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2025-01-09_שניר_שאר ישוב.gpx,,לא שונה - כבר יש שם משמעותי,
2025-01-17_עין שמר_ערערה_גן השומרון.gpx,,לא שונה - כבר יש שם משמעותי,
2025-01-18_לאוס.gpx,,לא שונה - כבר יש שם משמעותי,
2025-01-19_לאוס.gpx,,לא שונה - כבר יש שם משמעותי,
2025-01-19_לאוס_1.gpx,,לא שונה - כבר יש שם משמעותי,
2025-01-19_לאוס_2.gpx,,לא שונה - כבר יש שם משמעותי,
2025-01-22_לאוס.gpx,,לא שונה - כבר יש שם משמעותי,
2025-01-23_לאוס.gpx,,לא שונה - כבר יש שם משמעותי,
2025-01-24_לאוס.gpx,,לא שונה - כבר יש שם משמעותי,
2025-01-27_לאוס.gpx,,לא שונה - כבר יש שם משמעותי,
2025-02-10_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2025-02-11_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2025-02-12_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2025-02-13_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2025-02-22_אפיק_מבוא חמה.gpx,,לא שונה - כבר יש שם משמעותי,
2025-03-02_געתון_כברי_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2025-04-12_צבעון_חורפיש.gpx,,לא שונה - כבר יש שם משמעותי,
2025-04-25_עין הוד.gpx,,לא שונה - כבר יש שם משמעותי,
2025-04-26_בית אורן_יגור.gpx,,לא שונה - כבר יש שם משמעותי,
2025-05-03_חורפיש_מירון.gpx,,לא שונה - כבר יש שם משמעותי,
2025-05-15_עין קנייא_שניר.gpx,,לא שונה - כבר יש שם משמעותי,
2025-05-24_בית אורן_עין הוד.gpx,,לא שונה - כבר יש שם משמעותי,
2025-07-03_שאר ישוב_שדה נחמיה.gpx,,לא שונה - כבר יש שם משמעותי,
2025-07-06_עין קנייא_שניר.gpx,,לא שונה - כבר יש שם משמעותי,
2025-07-26_מצפה הילה_גורן.gpx,,לא שונה - כבר יש שם משמעותי,
2025-08-28_געתון_כפר ראש הנקרה.gpx,,לא שונה - כבר יש שם משמעותי,
2025-09-01_ליידן.gpx,,לא שונה - כבר יש שם משמעותי,
2025-09-02_ליידן.gpx,,לא שונה - כבר יש שם משמעותי,
2025-09-08_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2025-09-10_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2025-09-14_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2025-09-20_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2025-09-22_געתון_שבי ציון_מזרעה.gpx,,לא שונה - כבר יש שם משמעותי,
2025-09-23_געתון_כפר ראש הנקרה_כברי.gpx,,לא שונה - כבר יש שם משמעותי,
2025-09-30_יפתח_גונן_רמות נפתלי.gpx,,לא שונה - כבר יש שם משמעותי,
2025-10-01_געתון_שבי ציון_מזרעה.gpx,,לא שונה - כבר יש שם משמעותי,
2025-10-02_געתון_גשר הזיו_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2025-10-07_אבירים.gpx,,לא שונה - כבר יש שם משמעותי,
2025-10-11_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2025-10-16_געתון_כליל_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2025-10-17_מירון_כפר שמאי.gpx,,לא שונה - כבר יש שם משמעותי,
2025-10-20_נווה זוהר.gpx,,לא שונה - כבר יש שם משמעותי,
2025-10-25_געתון_גבע כרמל.gpx,,לא שונה - כבר יש שם משמעותי,
2025-10-31_כפר ראש הנקרה_גשר הזיו.gpx,,לא שונה - כבר יש שם משמעותי,
2025-11-06_בר יוחאי_חורפיש.gpx,,לא שונה - כבר יש שם משמעותי,
2025-11-15_געתון_כליל_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2025-12-25_בר יוחאי_מירון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-01-03_בית חנניה_שדות ים.gpx,,לא שונה - כבר יש שם משמעותי,
2026-01-10_כברי_כפר ראש הנקרה_בן עמי.gpx,,לא שונה - כבר יש שם משמעותי,
2026-01-14_שבי ציון_נהרייה_מזרעה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-01-15_שבי ציון_נהרייה_מזרעה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-01-16_שבי ציון_נהרייה_מזרעה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-01-23_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-01-28_מרום גולן_עין זיוון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-01-30_כברי_כפר ראש הנקרה_בן עמי.gpx,,לא שונה - כבר יש שם משמעותי,
2026-01-31_חורפיש_מירון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-02-05_מצובה_יערה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-02-07_געתון_כברי_גשר הזיו_הילה_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-02-13_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-02-21_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-02-24_געתון_מעונה_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-02-25_געתון_נהרייה_בוסתן הגליל_נהרייה_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-02-26_בארי.gpx,,לא שונה - כבר יש שם משמעותי,
2026-02-27_כברי_כפר ראש הנקרה_בן עמי.gpx,,לא שונה - כבר יש שם משמעותי,
2026-02-28_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-03-05_געתון_כברי_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2026-03-06_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-03-13_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-03-16_געתון_נווה זיו_כברי_עבדון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-03-18_געתון_נהרייה_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-03-23_געתון_אבירים_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-03-25_געתון_גשר הזיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-03-26_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-04-09_געתון_לימן_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-04-11_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-04-15_געתון_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2026-04-16_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-04-20_געתון_נהרייה_כפר ראש הנקרה_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-04-22_עבדון_גורן_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-04-27_נוב_נוב_אלי-עד_נוב.gpx,,לא שונה - כבר יש שם משמעותי,
2026-05-01_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-05-02_כברי_גשר הזיו_שבי ציון_נתיב השיירה_שייח' דנון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-05-07_געתון_כפר ראש הנקרה_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-05-08_געתון_כליל_כברי_יחיעם_הילה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-05-09_כברי_יערה_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-05-13_געתון_כברי_עבדון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-05-19_כברי_גשר הזיו_שבי ציון_שייח' דנון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-05-23_געתון_נווה זיו_כברי_מעונה_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-05-27_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-05-27_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2026-05-30_געתון_מעיליא_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-05-30_מעונה_געתון_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-01_געתון_מעונה_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-02_שבי ציון_כפר מסריק_רמת יוחנן_כפר מסריק_בוסתן הגליל.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-06_עכו_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-06_עכו_יחיעם_1.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-09_כברי_עבדון_גורנות הגליל_אילון_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-11_מג'דל שמס.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-11_מג'דל שמס_מסעדה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-13_כברי_גורן_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-20_כברי_אדמית_שתולה_גורן_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-20_כברי_אדמית_שתולה_גורנות הגליל_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-24_געתון_סער_כפר ראש הנקרה_בן עמי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-24_כפר ראש הנקרה_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2026-06-30_כברי_חניתה_בן עמי.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-01_געתון_כליל_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-03_שלומי.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-03_שלומי_יערה_חניתה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-04_געתון_הילה_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-04_געתון_הילה_כברי_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-07_געתון_עבדון_כפר ראש הנקרה_בן עמי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-07_כברי_שבי ציון_שייח' דנון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-10_לימן_כפר ראש הנקרה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-10_מצובה_יערה_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-14_געתון_שבי ציון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-14_נהרייה_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-18_געתון_גשר הזיו_שבי ציון_שייח' דנון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-19_געתון_מצובה_חניתה_מנות_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-21_כברי_כפר ראש הנקרה_שייח' דנון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-24_געתון_כברי_נווה זיו.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-28_שבי ציון_עין המפרץ_אפק_עין המפרץ_בוסתן הגליל.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-30_געתון_מעונה_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-30_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2026-07-31_כפר חנניה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-08-01_מצפה הילה_עבדון_מעיליא.gpx,,לא שונה - כבר יש שם משמעותי,
2026-08-08_געתון_בן עמי_כפר ראש הנקרה_מנות_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-08-09_געתון_כליל.gpx,,לא שונה - כבר יש שם משמעותי,
2026-08-11_כברי_גורנות הגליל_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
2026-08-13_געתון_כליל_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2026-08-14_בצת_כברי.gpx,,לא שונה - כבר יש שם משמעותי,
2026-08-15_געתון_מעונה_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2026-08-19_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2026-08-20_07-00-40_hk_1787198440.gpx,2026-08-20_שבי ציון_געתון_כברי.gpx,שונה,"תאריך מ: שם קובץ; רדיוס בפועל: 1.0 ק""מ"
